#rank requests AS=1 AS=2 AS=3 AS=4 AS=5 AS=6 AS=7 AS=8
500 1 0 0 0 0 0 0 0 0
501 0 0 0 0 0 0 0 0 0
502 1 0 0 0 0 0 0 0 0
503 0 0 0 0 0 0 0 0 0
504 3 0 0 0 0 0 0 0 0
505 4 0 0 0 0 0 0 0 0
506 7 0 0 0 0 0 0 0 0
507 3 0 0 0 0 0 0 0 0
508 3 0 0 0 0 0 0 0 0
509 5 0 0 0 0 0 0 0 0
510 3 0 0 0 0 0 0 0 0
511 3 0 0 0 0 0 0 0 0
512 6 0 0 0 0 0 0 0 0
513 4 0 0 0 0 0 0 0 0
514 0 0 0 0 0 0 0 0 0
515 5 0 0 0 0 0 0 0 0
516 1 0 0 0 0 0 0 0 0
517 5 0 0 0 0 0 0 0 0
518 0 0 0 0 0 0 0 0 0
519 1 0 0 0 0 0 0 0 0
520 4 0 0 0 0 0 0 0 0
521 3 0 0 0 0 0 0 0 0
522 4 0 0 0 0 0 0 0 0
523 3 0 0 0 0 0 0 0 0
524 4 0 0 0 0 0 0 0 0
525 5 0 0 0 0 0 0 0 0
526 0 0 0 0 0 0 0 0 0
527 5 0 0 0 0 0 0 0 0
528 0 0 0 0 0 0 0 0 0
529 2 0 0 0 0 0 0 0 0
530 2 0 0 0 0 0 0 0 0
531 1 0 0 0 0 0 0 0 0
532 2 0 0 0 0 0 0 0 0
533 2 0 0 0 0 0 0 0 0
534 3 0 0 0 0 0 0 0 0
535 4 0 0 0 0 0 0 0 0
536 0 0 0 0 0 0 0 0 0
537 1 0 0 0 0 0 0 0 0
538 3 0 0 0 0 0 0 0 0
539 3 0 0 0 0 0 0 0 0
540 2 0 0 0 0 0 0 0 0
541 0 0 0 0 0 0 0 0 0
542 0 0 0 0 0 0 0 0 0
543 2 0 0 0 0 0 0 0 0
544 6 0 0 0 0 0 0 0 0
545 1 0 0 0 0 0 0 0 0
546 0 0 0 0 0 0 0 0 0
547 1 0 0 0 0 0 0 0 0
548 6 0 0 0 0 0 0 0 0
549 0 0 0 0 0 0 0 0 0
550 1 0 0 0 0 0 0 0 0
551 1 0 0 0 0 0 0 0 0
552 5 0 0 0 0 0 0 0 0
553 1 0 0 0 0 0 0 0 0
554 0 0 0 0 0 0 0 0 0
555 3 0 0 0 0 0 0 0 0
556 3 0 0 0 0 0 0 0 0
557 3 0 0 0 0 0 0 0 0
558 2 0 0 0 0 0 0 0 0
559 3 0 0 0 0 0 0 0 0
560 7 0 0 0 0 0 0 0 0
561 0 0 0 0 0 0 0 0 0
562 1 0 0 0 0 0 0 0 0
563 6 0 0 0 0 0 0 0 0
564 2 0 0 0 0 0 0 0 0
565 4 0 0 0 0 0 0 0 0
566 0 0 0 0 0 0 0 0 0
567 0 0 0 0 0 0 0 0 0
568 5 0 0 0 0 0 0 0 0
569 1 0 0 0 0 0 0 0 0
570 0 0 0 0 0 0 0 0 0
571 4 0 0 0 0 0 0 0 0
572 0 0 0 0 0 0 0 0 0
573 6 0 0 0 0 0 0 0 0
574 6 0 0 0 0 0 0 0 0
575 0 0 0 0 0 0 0 0 0
576 0 0 0 0 0 0 0 0 0
577 1 0 0 0 0 0 0 0 0
578 3 0 0 0 0 0 0 0 0
579 0 0 0 0 0 0 0 0 0
580 4 0 0 0 0 0 0 0 0
581 0 0 0 0 0 0 0 0 0
582 4 0 0 0 0 0 0 0 0
583 2 0 0 0 0 0 0 0 0
584 5 0 0 0 0 0 0 0 0
585 4 0 0 0 0 0 0 0 0
586 1 0 0 0 0 0 0 0 0
587 0 0 0 0 0 0 0 0 0
588 2 0 0 0 0 0 0 0 0
589 5 0 0 0 0 0 0 0 0
590 1 0 0 0 0 0 0 0 0
591 0 0 0 0 0 0 0 0 0
592 6 0 0 0 0 0 0 0 0
593 0 0 0 0 0 0 0 0 0
594 1 0 0 0 0 0 0 0 0
595 0 0 0 0 0 0 0 0 0
596 3 0 0 0 0 0 0 0 0
597 0 0 0 0 0 0 0 0 0
598 0 0 0 0 0 0 0 0 0
599 2 0 0 0 0 0 0 0 0
600 3 0 0 0 0 0 0 0 0
601 2 0 0 0 0 0 0 0 0
602 0 0 0 0 0 0 0 0 0
603 0 0 0 0 0 0 0 0 0
604 3 0 0 0 0 0 0 0 0
605 5 0 0 0 0 0 0 0 0
606 2 0 0 0 0 0 0 0 0
607 1 0 0 0 0 0 0 0 0
608 2 0 0 0 0 0 0 0 0
609 1 0 0 0 0 0 0 0 0
610 0 0 0 0 0 0 0 0 0
611 1 0 0 0 0 0 0 0 0
612 1 0 0 0 0 0 0 0 0
613 3 0 0 0 0 0 0 0 0
614 0 0 0 0 0 0 0 0 0
615 2 0 0 0 0 0 0 0 0
616 4 0 0 0 0 0 0 0 0
617 0 0 0 0 0 0 0 0 0
618 3 0 0 0 0 0 0 0 0
619 3 0 0 0 0 0 0 0 0
620 5 0 0 0 0 0 0 0 0
621 5 0 0 0 0 0 0 0 0
622 4 0 0 0 0 0 0 0 0
623 7 0 0 0 0 0 0 0 0
624 1 0 0 0 0 0 0 0 0
625 6 0 0 0 0 0 0 0 0
626 3 0 0 0 0 0 0 0 0
627 2 0 0 0 0 0 0 0 0
628 2 0 0 0 0 0 0 0 0
629 3 0 0 0 0 0 0 0 0
630 1 0 0 0 0 0 0 0 0
631 1 0 0 0 0 0 0 0 0
632 2 0 0 0 0 0 0 0 0
633 0 0 0 0 0 0 0 0 0
634 2 0 0 0 0 0 0 0 0
635 3 0 0 0 0 0 0 0 0
636 0 0 0 0 0 0 0 0 0
637 1 0 0 0 0 0 0 0 0
638 0 0 0 0 0 0 0 0 0
639 2 0 0 0 0 0 0 0 0
640 0 0 0 0 0 0 0 0 0
641 2 0 0 0 0 0 0 0 0
642 4 0 0 0 0 0 0 0 0
643 2 0 0 0 0 0 0 0 0
644 0 0 0 0 0 0 0 0 0
645 1 0 0 0 0 0 0 0 0
646 2 0 0 0 0 0 0 0 0
647 4 0 0 0 0 0 0 0 0
648 0 0 0 0 0 0 0 0 0
649 2 0 0 0 0 0 0 0 0
650 7 0 0 0 0 0 0 0 0
651 6 0 0 0 0 0 0 0 0
652 2 0 0 0 0 0 0 0 0
653 0 0 0 0 0 0 0 0 0
654 2 0 0 0 0 0 0 0 0
655 4 0 0 0 0 0 0 0 0
656 2 0 0 0 0 0 0 0 0
657 2 0 0 0 0 0 0 0 0
658 3 0 0 0 0 0 0 0 0
659 4 0 0 0 0 0 0 0 0
660 1 0 0 0 0 0 0 0 0
661 0 0 0 0 0 0 0 0 0
662 1 0 0 0 0 0 0 0 0
663 3 0 0 0 0 0 0 0 0
664 1 0 0 0 0 0 0 0 0
665 1 0 0 0 0 0 0 0 0
666 1 0 0 0 0 0 0 0 0
667 0 0 0 0 0 0 0 0 0
668 1 0 0 0 0 0 0 0 0
669 0 0 0 0 0 0 0 0 0
670 0 0 0 0 0 0 0 0 0
671 4 0 0 0 0 0 0 0 0
672 1 0 0 0 0 0 0 0 0
673 3 0 0 0 0 0 0 0 0
674 1 0 0 0 0 0 0 0 0
675 0 0 0 0 0 0 0 0 0
676 2 0 0 0 0 0 0 0 0
677 1 0 0 0 0 0 0 0 0
678 3 0 0 0 0 0 0 0 0
679 0 0 0 0 0 0 0 0 0
680 0 0 0 0 0 0 0 0 0
681 5 0 0 0 0 0 0 0 0
682 1 0 0 0 0 0 0 0 0
683 3 0 0 0 0 0 0 0 0
684 0 0 0 0 0 0 0 0 0
685 2 0 0 0 0 0 0 0 0
686 2 0 0 0 0 0 0 0 0
687 2 0 0 0 0 0 0 0 0
688 0 0 0 0 0 0 0 0 0
689 0 0 0 0 0 0 0 0 0
690 0 0 0 0 0 0 0 0 0
691 0 0 0 0 0 0 0 0 0
692 4 0 0 0 0 0 0 0 0
