rank	at_0_Kbps	At_490_Kbps	at_1_Gbps
481	NaN	NaN	NaN
482	NaN	NaN	NaN
483	NaN	NaN	NaN
484	NaN	NaN	NaN
485	NaN	NaN	NaN
486	NaN	NaN	NaN
487	NaN	NaN	NaN
488	NaN	NaN	NaN
489	1	1	1
490	1	1	1
491	1	1	1
492	NaN	NaN	NaN
493	1	1	1
494	NaN	NaN	NaN
495	NaN	NaN	NaN
496	NaN	NaN	NaN
497	NaN	NaN	NaN
498	NaN	NaN	NaN
499	NaN	NaN	NaN
500	NaN	NaN	NaN
501	1	1	1
502	NaN	NaN	NaN
503	NaN	NaN	NaN
504	NaN	NaN	NaN
505	NaN	NaN	NaN
506	1	1	1
507	NaN	NaN	NaN
508	1	1	1
509	1	1	1
510	NaN	NaN	NaN
511	1	1	1
512	NaN	NaN	NaN
513	NaN	NaN	NaN
514	NaN	NaN	NaN
515	NaN	NaN	NaN
516	NaN	NaN	NaN
517	NaN	NaN	NaN
518	1	1	1
519	1	1	1
520	2	1	1
521	NaN	NaN	NaN
522	NaN	NaN	NaN
523	1	2	1
524	NaN	NaN	NaN
525	NaN	NaN	NaN
526	NaN	NaN	NaN
527	NaN	NaN	NaN
528	1	1	1
529	NaN	NaN	NaN
530	NaN	NaN	NaN
531	NaN	NaN	NaN
532	1	1	1
533	NaN	NaN	NaN
534	NaN	NaN	NaN
535	NaN	NaN	NaN
536	1	1	1
537	NaN	NaN	NaN
538	NaN	NaN	NaN
539	NaN	NaN	NaN
540	NaN	NaN	NaN
541	1	1	1
542	NaN	NaN	NaN
543	1	1	1
544	NaN	NaN	NaN
545	NaN	NaN	NaN
546	1	1	1
547	NaN	NaN	NaN
548	1	1	1
549	1	1	1
550	1	2	2
551	1	1	1
552	1	1	1
553	NaN	NaN	NaN
554	NaN	NaN	NaN
555	1	1	1
556	1	1	1
557	NaN	NaN	NaN
558	NaN	NaN	NaN
559	NaN	NaN	NaN
560	NaN	NaN	NaN
561	1	1	1
562	1	1	1
563	NaN	NaN	NaN
564	NaN	NaN	NaN
565	NaN	NaN	NaN
566	NaN	NaN	NaN
567	1	1	1
568	NaN	NaN	NaN
569	NaN	NaN	NaN
570	NaN	NaN	NaN
571	NaN	NaN	NaN
572	1	1	1
573	NaN	NaN	NaN
574	NaN	NaN	NaN
575	NaN	NaN	NaN
576	NaN	NaN	NaN
577	1	1	1
578	1	1	1
579	NaN	NaN	NaN
580	NaN	NaN	NaN
581	1	1	1
582	NaN	NaN	NaN
583	NaN	NaN	NaN
584	NaN	NaN	NaN
585	NaN	NaN	NaN
586	NaN	NaN	NaN
587	NaN	NaN	NaN
588	NaN	NaN	NaN
589	NaN	NaN	NaN
590	NaN	NaN	NaN
591	NaN	NaN	NaN
592	NaN	NaN	NaN
593	NaN	NaN	NaN
594	NaN	NaN	NaN
595	NaN	NaN	NaN
596	NaN	NaN	NaN
597	NaN	NaN	NaN
598	NaN	NaN	NaN
599	NaN	NaN	NaN
600	NaN	NaN	NaN
601	1	1	1
602	1	1	1
603	NaN	NaN	NaN
604	NaN	NaN	NaN
605	NaN	NaN	NaN
606	NaN	NaN	NaN
607	NaN	NaN	NaN
608	NaN	NaN	NaN
609	NaN	NaN	NaN
610	NaN	NaN	NaN
611	NaN	NaN	NaN
612	1	1	1
613	NaN	NaN	NaN
614	NaN	NaN	NaN
615	NaN	NaN	NaN
616	NaN	NaN	NaN
617	1	2	2
618	NaN	NaN	NaN
619	NaN	NaN	NaN
620	NaN	NaN	NaN
621	1	1	1
622	1	1	1
623	NaN	NaN	NaN
624	NaN	NaN	NaN
625	1	1	1
626	2	1	1
627	NaN	NaN	NaN
628	NaN	NaN	NaN
629	1	1	1
630	1	1	1
631	NaN	NaN	NaN
632	NaN	NaN	NaN
633	NaN	NaN	NaN
634	NaN	NaN	NaN
635	NaN	NaN	NaN
636	NaN	NaN	NaN
637	NaN	NaN	NaN
638	1	1	1
639	NaN	NaN	NaN
640	NaN	NaN	NaN
641	1	2	1
642	NaN	NaN	NaN
643	NaN	NaN	NaN
644	NaN	NaN	NaN
645	NaN	NaN	NaN
646	1	1	1
647	NaN	NaN	NaN
648	NaN	NaN	NaN
649	NaN	NaN	NaN
650	NaN	NaN	NaN
651	NaN	NaN	NaN
652	NaN	NaN	NaN
653	NaN	NaN	NaN
654	NaN	NaN	NaN
655	NaN	NaN	NaN
656	NaN	NaN	NaN
657	NaN	NaN	NaN
658	2	1	2
659	NaN	NaN	NaN
660	NaN	NaN	NaN
661	1	1	2
662	1	1	2
663	NaN	NaN	NaN
664	NaN	NaN	NaN
665	NaN	NaN	NaN
666	NaN	NaN	NaN
667	NaN	NaN	NaN
668	NaN	NaN	NaN
669	NaN	NaN	NaN
670	NaN	NaN	NaN
671	NaN	NaN	NaN
672	NaN	NaN	NaN
673	1	2	1
674	NaN	NaN	NaN
675	1	1	1
676	NaN	NaN	NaN
677	NaN	NaN	NaN
678	NaN	NaN	NaN
679	NaN	NaN	NaN
680	NaN	NaN	NaN
681	NaN	NaN	NaN
682	NaN	NaN	NaN
683	NaN	NaN	NaN
684	1	1	1
685	1	1	1
686	2	1	1
687	1	1	1
688	1	1	1
689	NaN	NaN	NaN
690	NaN	NaN	NaN
691	NaN	NaN	NaN
692	NaN	NaN	NaN
693	1	1	1
694	NaN	NaN	NaN
695	NaN	NaN	NaN
696	NaN	NaN	NaN
697	NaN	NaN	NaN
698	NaN	NaN	NaN
699	NaN	NaN	NaN
700	NaN	NaN	NaN
701	1	1	1
702	NaN	NaN	NaN
703	1	1	1
704	NaN	NaN	NaN
705	NaN	NaN	NaN
706	1	1	2
707	NaN	NaN	NaN
708	NaN	NaN	NaN
709	1	1	1
710	NaN	NaN	NaN
711	1	1	1
712	NaN	NaN	NaN
713	NaN	NaN	NaN
714	1	1	1
715	NaN	NaN	NaN
716	NaN	NaN	NaN
717	NaN	NaN	NaN
718	NaN	NaN	NaN
719	NaN	NaN	NaN
720	NaN	NaN	NaN
721	NaN	NaN	NaN
722	NaN	NaN	NaN
723	2	1	1
724	NaN	NaN	NaN
725	NaN	NaN	NaN
726	NaN	NaN	NaN
727	NaN	NaN	NaN
728	NaN	NaN	NaN
729	NaN	NaN	NaN
730	NaN	NaN	NaN
731	NaN	NaN	NaN
732	NaN	NaN	NaN
733	1	1	1
734	NaN	NaN	NaN
735	NaN	NaN	NaN
736	NaN	NaN	NaN
737	1	1	1
738	1	1	2
739	NaN	NaN	NaN
740	NaN	NaN	NaN
741	NaN	NaN	NaN
742	NaN	NaN	NaN
743	NaN	NaN	NaN
744	NaN	NaN	NaN
745	NaN	NaN	NaN
746	NaN	NaN	NaN
747	NaN	NaN	NaN
748	NaN	NaN	NaN
749	NaN	NaN	NaN
750	NaN	NaN	NaN
751	2	1	1
752	NaN	NaN	NaN
753	NaN	NaN	NaN
754	NaN	NaN	NaN
755	NaN	NaN	NaN
756	NaN	NaN	NaN
757	NaN	NaN	NaN
758	NaN	NaN	NaN
759	1	1	1
760	NaN	NaN	NaN
761	NaN	NaN	NaN
762	NaN	NaN	NaN
763	1	1	1
764	NaN	NaN	NaN
765	NaN	NaN	NaN
766	NaN	NaN	NaN
767	NaN	NaN	NaN
768	1	1	1
769	NaN	NaN	NaN
770	NaN	NaN	NaN
771	NaN	NaN	NaN
772	NaN	NaN	NaN
773	NaN	NaN	NaN
774	NaN	NaN	NaN
775	NaN	NaN	NaN
776	1	1	1
777	NaN	NaN	NaN
778	NaN	NaN	NaN
779	NaN	NaN	NaN
780	NaN	NaN	NaN
781	NaN	NaN	NaN
782	NaN	NaN	NaN
783	1	1	1
784	NaN	NaN	NaN
785	NaN	NaN	NaN
786	NaN	NaN	NaN
787	NaN	NaN	NaN
788	NaN	NaN	NaN
789	NaN	NaN	NaN
790	NaN	NaN	NaN
791	NaN	NaN	NaN
792	1	1	1
793	NaN	NaN	NaN
794	NaN	NaN	NaN
795	2	1	1
796	NaN	NaN	NaN
797	1	2	2
798	NaN	NaN	NaN
799	NaN	NaN	NaN
800	NaN	NaN	NaN
801	NaN	NaN	NaN
802	1	1	1
803	NaN	NaN	NaN
804	1	1	1
805	NaN	NaN	NaN
806	NaN	NaN	NaN
807	NaN	NaN	NaN
808	NaN	NaN	NaN
809	NaN	NaN	NaN
810	1	1	1
811	NaN	NaN	NaN
812	1	1	1
813	NaN	NaN	NaN
814	NaN	NaN	NaN
815	NaN	NaN	NaN
816	NaN	NaN	NaN
817	NaN	NaN	NaN
818	NaN	NaN	NaN
819	1	1	1
820	NaN	NaN	NaN
821	NaN	NaN	NaN
822	NaN	NaN	NaN
823	NaN	NaN	NaN
824	NaN	NaN	NaN
825	NaN	NaN	NaN
826	NaN	NaN	NaN
827	1	1	2
828	1	1	1
829	NaN	NaN	NaN
830	NaN	NaN	NaN
831	1	1	1
832	NaN	NaN	NaN
833	1	1	1
834	1	1	1
835	NaN	NaN	NaN
836	NaN	NaN	NaN
837	NaN	NaN	NaN
838	NaN	NaN	NaN
839	NaN	NaN	NaN
840	1	1	1
841	NaN	NaN	NaN
842	NaN	NaN	NaN
843	NaN	NaN	NaN
844	NaN	NaN	NaN
845	NaN	NaN	NaN
846	1	1	2
847	NaN	NaN	NaN
848	NaN	NaN	NaN
849	NaN	NaN	NaN
850	NaN	NaN	NaN
851	NaN	NaN	NaN
852	NaN	NaN	NaN
853	NaN	NaN	NaN
854	NaN	NaN	NaN
855	NaN	NaN	NaN
856	NaN	NaN	NaN
857	NaN	NaN	NaN
858	NaN	NaN	NaN
859	NaN	NaN	NaN
860	NaN	NaN	NaN
861	NaN	NaN	NaN
862	NaN	NaN	NaN
863	NaN	NaN	NaN
864	NaN	NaN	NaN
865	NaN	NaN	NaN
866	2	1	2
867	NaN	NaN	NaN
868	NaN	NaN	NaN
869	NaN	NaN	NaN
870	2	1	1
871	NaN	NaN	NaN
872	1	1	1
873	NaN	NaN	NaN
874	NaN	NaN	NaN
875	NaN	NaN	NaN
876	NaN	NaN	NaN
877	1	1	1
878	NaN	NaN	NaN
879	1	1	1
880	NaN	NaN	NaN
881	NaN	NaN	NaN
882	NaN	NaN	NaN
