#rank q_avg rank q_avg
593 NaN 0 NaN
594 NaN 0 NaN
595 NaN 0 NaN
596 NaN 0 NaN
597 NaN 0 NaN
598 NaN 0 NaN
599 NaN 0 NaN
600 NaN 0 NaN
601 NaN 0 NaN
602 2 0 0
603 NaN 0 NaN
604 2 0 0
605 NaN 0 NaN
606 2 0 0
607 NaN 0 NaN
608 2 0 0
609 2 0 0
610 NaN 0 NaN
611 NaN 0 NaN
612 NaN 0 NaN
613 2 0 0
614 NaN 0 NaN
615 NaN 0 NaN
616 2 0 0
617 2 0 0
618 NaN 0 NaN
619 2 0 0
620 NaN 0 NaN
621 2 0 0
622 1 0 0
623 NaN 0 NaN
624 NaN 0 NaN
625 1 0 0
626 NaN 0 NaN
627 NaN 0 NaN
628 NaN 0 NaN
629 NaN 0 NaN
630 NaN 0 NaN
631 NaN 0 NaN
632 NaN 0 NaN
633 NaN 0 NaN
634 2 0 0
635 1 0 0
636 NaN 0 NaN
637 NaN 0 NaN
638 NaN 0 NaN
639 NaN 0 NaN
640 NaN 0 NaN
641 NaN 0 NaN
642 2 0 0
643 NaN 0 NaN
644 NaN 0 NaN
645 NaN 0 NaN
646 NaN 0 NaN
647 NaN 0 NaN
648 NaN 0 NaN
649 NaN 0 NaN
650 1 0 0
651 NaN 0 NaN
652 NaN 0 NaN
653 NaN 0 NaN
654 NaN 0 NaN
655 NaN 0 NaN
656 NaN 0 NaN
657 NaN 0 NaN
658 NaN 0 NaN
659 NaN 0 NaN
660 NaN 0 NaN
661 NaN 0 NaN
662 2 0 0
663 NaN 0 NaN
664 2 0 0
665 NaN 0 NaN
666 NaN 0 NaN
667 NaN 0 NaN
668 2 0 0
669 NaN 0 NaN
670 NaN 0 NaN
671 NaN 0 NaN
672 2 0 0
673 NaN 0 NaN
674 NaN 0 NaN
675 NaN 0 NaN
676 NaN 0 NaN
677 NaN 0 NaN
678 NaN 0 NaN
679 NaN 0 NaN
680 NaN 0 NaN
681 2 0 0
682 NaN 0 NaN
683 NaN 0 NaN
684 2 0 0
685 NaN 0 NaN
686 NaN 0 NaN
687 NaN 0 NaN
688 NaN 0 NaN
689 NaN 0 NaN
690 NaN 0 NaN
691 NaN 0 NaN
