#rank requests intersection
673 1 0
674 0 0
675 0 0
676 2 0
677 2 0
678 0 0
679 1 0
680 0 0
681 3 0
682 2 0
683 2 0
684 0 0
685 1 0
686 0 0
687 2 0
688 0 0
689 0 0
690 0 0
691 0 0
692 1 0
693 1 0
694 0 0
695 0 0
696 4 0
697 0 0
698 0 0
699 1 0
700 2 0
701 2 0
702 1 0
703 1 0
704 0 0
705 0 0
706 3 0
707 0 0
708 2 0
709 0 0
710 2 0
711 0 0
712 1 0
713 3 0
714 0 0
715 1 0
716 3 0
717 2 0
718 0 0
719 0 0
720 0 0
721 0 0
722 0 0
723 1 0
724 2 0
725 0 0
726 0 0
727 3 0
728 0 0
729 0 0
730 0 0
731 1 0
732 0 0
733 0 0
734 0 0
735 2 0
736 0 0
737 0 0
738 2 0
739 4 0
740 0 0
741 1 0
742 4 0
743 0 0
744 4 0
745 0 0
746 3 0
747 0 0
748 0 0
749 0 0
750 1 0
751 3 0
752 1 0
753 0 0
754 2 0
755 3 0
756 2 0
757 3 0
758 0 0
759 0 0
760 1 0
761 0 0
762 0 0
763 2 0
764 1 0
765 1 0
766 0 0
767 0 0
768 0 0
769 1 0
770 2 0
771 0 0
772 0 0
773 3 0
774 0 0
775 1 0
776 2 0
777 2 0
778 0 0
779 2 0
780 0 0
781 2 0
782 0 0
783 0 0
784 2 0
785 1 0
786 1 0
787 2 0
788 1 0
789 2 0
790 0 0
791 2 0
792 0 0
793 0 0
794 0 0
795 2 0
796 0 0
797 2 0
798 4 0
799 4 0
800 0 0
801 1 0
802 0 0
803 3 0
804 3 0
805 2 0
806 2 0
807 4 0
808 5 0
809 0 0
810 0 0
811 0 0
812 1 0
813 0 0
814 0 0
815 1 0
816 0 0
817 0 0
818 5 0
819 2 0
820 0 0
821 2 0
822 3 0
823 0 0
824 0 0
825 0 0
826 2 0
827 0 0
828 1 0
829 0 0
830 1 0
831 1 0
832 0 0
833 2 0
834 2 0
835 1 0
836 0 0
837 1 0
838 2 0
839 1 0
840 2 0
841 2 0
842 0 0
843 0 0
844 1 0
845 0 0
846 2 0
847 1 0
848 2 0
849 0 0
850 0 0
851 0 0
852 1 0
853 0 0
854 0 0
855 4 0
856 0 0
857 0 0
858 3 0
859 0 0
860 0 0
861 0 0
862 1 0
863 2 0
864 0 0
865 0 0
866 0 0
867 1 0
868 0 0
869 2 0
870 1 0
871 0 0
872 0 0
873 0 0
874 0 0
875 2 0
876 2 0
877 0 0
878 1 0
879 0 0
880 0 0
881 2 0
882 2 0
883 1 0
884 0 0
885 3 0
886 2 0
887 0 0
888 0 0
889 0 0
890 0 0
891 0 0
892 1 0
893 0 0
894 3 0
895 2 0
896 0 0
897 0 0
898 1 0
899 0 0
900 3 0
901 0 0
902 0 0
903 0 0
904 0 0
905 0 0
906 0 0
907 4 0
908 2 0
909 2 0
910 0 0
911 0 0
912 1 0
913 0 0
914 0 0
915 1 0
916 3 0
917 0 0
918 0 0
919 1 0
920 1 0
921 0 0
922 1 0
923 0 0
924 0 0
925 0 0
926 3 0
927 0 0
928 1 0
929 1 0
930 0 0
931 1 0
932 0 0
933 4 0
934 0 0
935 1 0
936 0 0
937 0 0
938 5 0
939 3 0
940 0 0
941 2 0
942 0 0
943 0 0
944 0 0
945 0 0
946 3 0
947 0 0
948 0 0
949 0 0
950 0 0
951 4 0
952 3 0
953 0 0
954 1 0
955 0 0
956 2 0
957 2 0
958 0 0
959 0 0
960 2 0
961 0 0
962 2 0
963 0 0
964 0 0
965 0 0
966 1 0
967 0 0
968 3 0
969 2 0
970 0 0
971 0 0
972 0 0
973 1 0
974 0 0
975 1 0
976 0 0
977 0 0
978 1 0
979 0 0
980 2 0
981 2 0
982 1 0
983 0 0
984 3 0
985 1 0
986 0 0
987 1 0
988 1 0
989 0 0
990 0 0
991 1 0
992 2 0
993 1 0
994 1 0
995 0 0
996 1 0
997 0 0
998 0 0
999 0 0
1000 0 0
