29046 24 0.3266135762527896	29040 14 0.3112879359409758	28973 12 0.3016005182550318
30063 24 0.3344885277775113	30076 14 0.3156441965506023	29978 11 0.3068063245333741
31035 24 0.3370168305774913	31065 14 0.3142819294871109	31021 11 0.3013572562794083
32083 25 0.3373379363853143	32073 15 0.3131772706183181	32002 11 0.3016005182550318
33094 24 0.3402594586543354	33024 14 0.3176762449203104	32980 11 0.3010166895135354
34090 24 0.3349355892304904	33969 15 0.3131772706183181	33986 12 0.3016005182550318
35059 23 0.3363515213601194	34959 15 0.3180927842724164	34970 11 0.3072294529394586
36067 23 0.3329458537013908	35951 15 0.3168134757800991	35957 12 0.3014288626250534
37054 22 0.3340828227505356	36890 15 0.3176762449203104	36966 12 0.306506403498067
38005 23 0.3307403326947516	37861 15 0.3174797640938453	37970 12 0.3070902322395633
38952 23 0.3338976941495996	38897 15 0.3168959353523489	38969 12 0.3079158486416794
39934 23 0.3256915320888368	39901 16 0.3185844229626379	39988 12 0.306506403498067
40981 24 0.3305878342843474	40935 15 0.322087395411616	40951 12 0.3066054774663209
41933 23 0.3346295176554112	41965 15 0.3184546832423055	41948 13 0.3058562305814006
42957 23 0.3277002938420749	42948 15 0.3184546832423055	42943 13 0.3108861397389075
44008 23 0.3329218185865344	43973 15 0.3184546832423055	43896 13 0.3108861397389075
44955 24 0.3319617446560739	44943 14 0.3184546832423055	44879 13 0.3112948198579549
45912 24 0.3327401829780689	45965 14 0.3140954286391329	45870 14 0.3109232924770027
46936 25 0.3348097810168348	46953 14 0.3145495176602967	46819 13 0.3159654497899256
48022 25 0.3381713371706502	47962 14 0.3142089508944238	47805 14 0.3111926498281931
48938 25 0.334614306504867	48996 14 0.3142089508944238	48782 14 0.3158632797601637
49917 24 0.3370663872191516	50017 13 0.3149581977793441	49776 14 0.3150830722601641
50887 24 0.3362023206817371	50941 14 0.3102875678473734	50741 14 0.3158632797601637
51877 25 0.335331983391173	52010 14 0.3156393313110898	51704 14 0.3158632797601637
52856 25 0.336925835855458	53017 14 0.3146176310134712	52698 14 0.3152794510186674
53902 25 0.3362027864140665	54054 14 0.3156393313110898	53679 14 0.3154545996411163
54891 25 0.3383118885343439	55032 14 0.3156021785729946	54678 14 0.3152113376654929
55938 25 0.3337273359168245	56057 13 0.3149210450412488	55659 14 0.3152113376654929
56908 25 0.3395038722148987	57041 14 0.3106219424902303	56631 15 0.31487077089962
57879 25 0.3371199048537887	57998 14 0.3149210450412488	57634 14 0.3195705922686655
58829 26 0.3313302698339501	59031 14 0.3146795522436299	58658 15 0.3151140328752435
59864 26 0.339258738993309	60031 14 0.3157012525412485	59632 15 0.319813854244289
60870 25 0.338066755312754	60991 14 0.3146795522436299	60643 15 0.3194732874784161
61863 25 0.3364518700438074	61989 14 0.3146795522436299	61568 15 0.3201544210101618
62898 25 0.3396872543195996	62973 14 0.3142254632224661	62567 15 0.3201544210101618
63843 26 0.336818634253209	63953 14 0.3142254632224661	63518 15 0.319337060772067
64812 27 0.3357576377902974	64966 14 0.3148756361391324	64520 15 0.3196776275379399
65798 26 0.3414148301789632	65961 15 0.3138539358415139	65525 16 0.319223538516776
66817 27 0.3357183416250044	66990 15 0.3182131904446865	66523 15 0.3233103397072504
67826 26 0.3407027360321381	67946 15 0.3182131904446865	67528 16 0.3186397097752797
68903 26 0.3413329300903559	68973 15 0.3182131904446865	68545 16 0.3222576787945525
69904 26 0.3399706630268644	69959 15 0.3182131904446865	69557 16 0.3230007335564569
70888 26 0.3403112297927373	70941 14 0.3178416630637343	70563 16 0.3230007335564569
71887 26 0.3396111758851098	71997 15 0.3138229752264345	71575 16 0.3230007335564569
