43775 26 0.3372715087045041	44227 24 0.3443663662246799	44201 6 0.2738247236959524
44783 26 0.3408339451919677	45252 24 0.3437987549482251	45185 7 0.264483463832011
45757 26 0.338245637771334	46264 24 0.3432879047994158	46220 6 0.2720909292515087
46722 26 0.3343631766403833	47230 24 0.3435554929726017	47298 7 0.2646957651925552
47728 25 0.338296722786215	48278 24 0.3432538481228286	48291 6 0.2735357579552118
48735 25 0.3270409361374708	49266 23 0.3438555160758706	49288 5 0.2641944980912704
49718 26 0.3326165006187607	50237 23 0.3414715487147605	50369 5 0.2538801903248352
50668 25 0.3325431477768804	51259 22 0.3418121154806334	51330 5 0.2545303632415015
51653 25 0.3328528940209549	52228 22 0.3394799734969388	52312 5 0.2549018906224538
52663 24 0.3324121605592371	53244 22 0.3394799734969388	53303 5 0.2542888704438826
53705 24 0.328483877717969	54239 22 0.3384582731993203	54308 4 0.2542888704438826
54711 25 0.3290019520102968	55305 22 0.3384582731993203	55332 5 0.2412111066343647
55667 26 0.3306746725677314	56407 22 0.3389691233481295	56374 5 0.2551402873585648
56652 24 0.335699066473969	57343 22 0.337606856284638	57373 6 0.2551402873585648
57706 25 0.3269942298381511	58327 21 0.3383980190792042	58326 6 0.2660384238664963
58689 24 0.3326108982217465	59345 20 0.3354258000315866	59374 7 0.2656297437474489
59677 24 0.3278442044881556	60360 21 0.3331067025306428	60392 7 0.2730865341735605
60685 25 0.3317266656191062	61417 21 0.3372683535597706	61406 7 0.2730865341735605
61655 24 0.3298447337375712	62516 21 0.3368142645386067	62370 8 0.2732454653309678
62668 25 0.3348130651146574	63515 20 0.3373509151999822	63354 8 0.2803973674142979
63650 24 0.3355492270659415	64538 20 0.3342371619120018	64329 8 0.2817255778012021
64630 24 0.3343362716424355	65559 21 0.3337830728908379	65325 8 0.2809082175631072
65622 24 0.3331039576869744	66563 21 0.3368968261788183	66315 8 0.2809082175631072
66589 25 0.3345065550253718	67595 21 0.3372373929446912	67359 8 0.2810217398183981
67639 25 0.3347381404261655	68625 21 0.3371076532243586	68328 8 0.2809082175631072
68608 25 0.335759840723784	69577 21 0.3374791806053109	69314 9 0.2809082175631072
69588 24 0.3346978101512594	70640 21 0.3370250915841471	70311 9 0.2875898131602319
70560 25 0.3333145713448168	71696 20 0.3374791806053109	71356 9 0.2875898131602319
71526 25 0.3361004074896569	72736 20 0.3343654273173304	72298 9 0.2870789630114226
72581 25 0.3357030795961385	73750 21 0.3343654273173304	73270 9 0.2870789630114226
73551 25 0.3363140964407928	74706 21 0.3369683304565017	74342 10 0.2881006633090412
74582 26 0.3368950632766936	75709 21 0.3362871969247559	75405 9 0.2951503953626095
75557 27 0.3364382723231187	76674 21 0.3362871969247559	76374 10 0.28723789416883
76571 28 0.339292600228651	77685 21 0.3374791806053109	77367 9 0.2942308650947528
77557 27 0.3413724901202317	78675 21 0.3376752645008134	78398 9 0.2876919831899938
78532 28 0.3395480253030557	79627 22 0.3371644143520042	79408 9 0.2878865927704927
79558 27 0.3402418084575338	80600 22 0.3406474835484311	80398 9 0.2886115134578505
80539 28 0.3405629142653567	81628 21 0.3406474835484311	81378 9 0.2892974101611469
81526 28 0.3401736951043591	82661 22 0.3371644143520042	82354 9 0.2871858962127352
82513 30 0.3406913565884859	83613 21 0.3401366333996218	83368 8 0.2877535074891899
83485 30 0.3464880378172736	84604 21 0.3376752645008134	84418 8 0.2811692166823146
84517 30 0.3441721838093382	85569 22 0.3376752645008134	85396 8 0.2811124555546691
85469 31 0.3396767024998164	86575 22 0.3404431434889075	86409 8 0.2816233057034784
86487 31 0.3476437676163002	87606 22 0.3412945604035896	87426 8 0.2816233057034784
87477 32 0.3449464788305872	88602 22 0.3412002496068864	88381 9 0.2816233057034784
88508 32 0.345464140314714	89640 22 0.3407461605857226	89328 9 0.2882075965103538
89483 32 0.3445207703732461	90726 22 0.3397506577316327	90425 9 0.2878932271880096
90476 32 0.346926144788211	91732 23 0.3403828893687915	91476 10 0.2882075965103538
91465 32 0.3448827441929739	92743 23 0.3424574231577874	92498 9 0.2951132426245143
92455 33 0.3513535127445583	93771 23 0.342400662030142	93504 9 0.2878932271880096
93420 34 0.341008478518956	94756 23 0.342400662030142	94514 9 0.2878932271880096
