#1.N,2.ctlg,3.ctlg_eps,4.ctlg_perm,5.K,6.alpha0,7.alpha_eps,8.req_eps,9.R_perm,10.hit_opt%,11.hit_unif%,12.improvement%,c2ctlg
8,10000000,0.4,2,10,1,0.4,0,2,16.4527,11.6664,4.78621,1E-6
2,10000000,0.4,1,10,1,0.2,0.4,1,32.1209,27.344,4.7769,1E-6
4,10000000,0.4,1,10,1,0.4,0.4,1,29.5641,24.7999,4.76414,1E-6
4,1000000,0,2,10,1,0.4,0.4,1,30.1093,25.3853,4.72403,1E-5
4,1000000,0.2,1,10,1,0.4,0,2,23.0047,18.2911,4.7136,1E-5
8,1000000,0.2,1,10,1,0.4,0,2,16.9375,12.2332,4.70428,1E-5
8,100000,0.2,1,10,1,0.4,0.4,1,22.5883,17.8938,4.6945,1E-4
2,1000000,0.4,2,10,1,0.2,0.4,1,33.2819,28.5993,4.68254,1E-5
2,100000,0.4,2,10000,1,0.4,0.2,2,64.6214,59.9705,4.65095,1E-1
2,100000,0.2,1,10000,1,0.4,0,1,75.2244,70.5941,4.63036,1E-1
2,100000,0.2,1,10000,1,0.4,0,2,75.2244,70.5941,4.63036,1E-1
2,1000000,0.2,2,10,1,0.2,0.4,1,33.1386,28.5185,4.62007,1E-5
2,100000,0.4,2,10000,0.4,0.4,0.2,1,36.948,32.3858,4.56212,1E-1
2,1000000,0,1,10,1,0.2,0.4,1,33.0338,28.478,4.55574,1E-5
2,1000000,0,2,10,1,0.2,0.4,1,33.0338,28.478,4.55574,1E-5
2,10000000,0.4,2,10,1,0.4,0,1,34.3599,29.8336,4.52632,1E-6
2,10000000,0.4,2,10,1,0.4,0,2,34.3599,29.8336,4.52632,1E-6
2,10000000,0.2,2,10,1,0.4,0,1,34.3522,29.8339,4.5183,1E-6
2,10000000,0.2,2,10,1,0.4,0,2,34.3522,29.8339,4.5183,1E-6
2,10000000,0,1,10,1,0.4,0,1,34.3468,29.8381,4.50873,1E-6
2,10000000,0,1,10,1,0.4,0,2,34.3468,29.8381,4.50873,1E-6
2,10000000,0,2,10,1,0.4,0,1,34.3468,29.8381,4.50873,1E-6
2,10000000,0,2,10,1,0.4,0,2,34.3468,29.8381,4.50873,1E-6
8,10000000,0,2,10,1,0.4,0.4,1,21.2831,16.7789,4.50425,1E-6
2,10000000,0.2,1,10,1,0.4,0,1,34.3427,29.8463,4.49646,1E-6
2,10000000,0.2,1,10,1,0.4,0,2,34.3427,29.8463,4.49646,1E-6
4,100000,0.4,2,10000,0.4,0.4,0.4,1,35.2707,30.7795,4.49116,1E-1
2,1000000,0.2,1,10,1,0.2,0.4,1,32.952,28.4695,4.48246,1E-5
2,10000000,0.4,1,10,1,0.4,0,1,34.3395,29.8602,4.47927,1E-6
2,10000000,0.4,1,10,1,0.4,0,2,34.3395,29.8602,4.47927,1E-6
8,10000000,0.2,1,10,1,0.4,0,1,16.4162,11.9384,4.4778,1E-6
4,100000,0.4,2,10000,0.4,0.2,0.4,1,33.5267,29.0545,4.47218,1E-1
8,10000000,0.4,1,10,1,0.4,0,1,16.407,11.9451,4.46185,1E-6
8,1000000,0,2,10,1,0.4,0.2,1,19.2808,14.853,4.4278,1E-5
4,100000,0.2,2,10,1,0.4,0,2,24.1512,19.7454,4.40573,1E-4
2,100000,0.2,1,10000,1,0.2,0.4,2,75.621,71.219,4.40202,1E-1
2,100000,0.2,1,10000,0.4,0,0.4,2,31.1794,26.778,4.40146,1E-1
2,100000,0.2,2,10000,0.4,0,0.4,1,31.1794,26.778,4.40146,1E-1
2,1000000,0.4,1,10,1,0.2,0.4,1,32.8854,28.4953,4.39017,1E-5
8,10000000,0,2,10,1,0.4,0,1,16.4266,12.0412,4.38538,1E-6
