#1.N,2.ctlg,3.ctlg_eps,4.ctlg_perm,5.K,6.alpha0,7.alpha_eps,8.req_eps,9.R_perm,10.hit_opt%,11.hit_unif%,12.improvement%,c2ctlg
2,10000000,0,1,1000,0.4,0.2,0.2,1,0.702861,0.560794,0.142067,1E-4
2,10000000,0,2,1000,0.4,0.2,0.2,1,0.702861,0.560794,0.142067,1E-4
8,100000,0.4,2,10,0.4,0.2,0.4,1,0.519199,0.377144,0.142055,1E-4
8,100000,0,2,100,0.7,0.2,0.2,2,8.6507,8.50869,0.14201,1E-3
8,100000,0.2,2,100,1,0.2,0.2,2,30.6867,30.5449,0.141838,1E-3
4,10000000,0.2,2,1000,0.7,0.2,0.4,2,5.83739,5.69559,0.141799,1E-4
4,1000000,0,1,10000,0.4,0.2,0,1,6.64402,6.50236,0.141661,1E-2
4,1000000,0,1,10000,0.4,0.2,0,2,6.64402,6.50236,0.141661,1E-2
4,1000000,0,2,10000,0.4,0.2,0,1,6.64402,6.50236,0.141661,1E-2
4,1000000,0,2,10000,0.4,0.2,0,2,6.64402,6.50236,0.141661,1E-2
8,100000,0.2,2,100,0.4,0,0.4,1,1.56529,1.42371,0.14158,1E-3
8,10000000,0.4,1,1000,0.7,0.2,0.2,2,5.97671,5.83516,0.141551,1E-4
8,10000000,0.4,1,10000,1,0.2,0.2,2,50.354,50.2124,0.141549,1E-3
8,100000,0.4,1,1000,0.4,0,0,1,6.46666,6.32531,0.141347,1E-2
8,100000,0.4,1,1000,0.4,0,0,2,6.46666,6.32531,0.141347,1E-2
8,100000,0.4,2,1000,0.4,0,0,1,6.46666,6.32531,0.141347,1E-2
8,100000,0.4,2,1000,0.4,0,0,2,6.46666,6.32531,0.141347,1E-2
4,100000,0.4,1,1000,0.4,0.4,0.4,2,6.38636,6.24505,0.141314,1E-2
8,100000,0,1,10,0.4,0.4,0,2,0.489082,0.348147,0.140935,1E-4
8,100000,0.2,2,10,0.4,0.2,0.4,1,0.457049,0.316398,0.140651,1E-4
8,10000000,0.4,2,100,0.4,0.4,0.4,1,0.363723,0.223087,0.140635,1E-5
4,1000000,0.4,1,100,0.4,0.4,0,1,0.679903,0.539619,0.140284,1E-4
4,1000000,0.4,1,100,0.4,0.4,0,2,0.679903,0.539619,0.140284,1E-4
8,100000,0.2,1,10000,0.4,0.2,0.2,1,25.5218,25.3816,0.14027,1E-1
8,1000000,0.4,1,10000,0.4,0,0,1,6.62375,6.4835,0.140257,1E-2
8,1000000,0.4,1,10000,0.4,0,0,2,6.62375,6.4835,0.140257,1E-2
8,1000000,0.4,2,10000,0.4,0,0,1,6.62375,6.4835,0.140257,1E-2
8,1000000,0.4,2,10000,0.4,0,0,2,6.62375,6.4835,0.140257,1E-2
2,100000,0,1,1000,1,0.2,0.4,1,67.9251,67.7849,0.140244,1E-2
2,100000,0,2,1000,1,0.2,0.4,1,67.9251,67.7849,0.140244,1E-2
8,100000,0.2,1,10,0.7,0.2,0.4,2,2.2315,2.09137,0.140132,1E-4
8,100000,0.2,2,10,0.4,0.4,0,1,0.534033,0.394006,0.140027,1E-4
8,1000000,0.2,2,1000,0.4,0.2,0,1,1.80858,1.66891,0.139671,1E-3
8,1000000,0.2,2,1000,0.4,0.2,0,2,1.80858,1.66891,0.139671,1E-3
2,100000,0.4,2,10000,1,0.2,0.4,1,82.6682,82.5286,0.139649,1E-1
4,10000000,0.2,1,10,1,0,0.2,2,11.0669,10.9273,0.139603,1E-6
8,1000000,0,1,10000,0.4,0.4,0.2,2,6.68679,6.5472,0.139592,1E-2
8,1000000,0,2,10000,0.4,0.4,0.2,2,6.68679,6.5472,0.139592,1E-2
8,10000000,0.2,1,10,0.7,0.2,0.4,2,0.737263,0.597692,0.139571,1E-6
2,100000,0.4,2,100,0.7,0.2,0.4,2,9.39297,9.25341,0.139565,1E-3
2,10000000,0.2,1,10,1,0,0.2,2,14.4651,14.3257,0.139452,1E-6
2,10000000,0.2,2,10,1,0,0.2,1,14.4651,14.3257,0.139452,1E-6
2,10000000,0.2,1,100,0.4,0.4,0.4,1,0.499153,0.359755,0.139398,1E-5
8,1000000,0.2,1,1000,0.7,0,0.4,1,10.4603,10.3209,0.139393,1E-3
8,1000000,0.2,2,1000,0.7,0,0.4,2,10.4603,10.3209,0.139393,1E-3
4,100000,0.4,2,10,0.4,0.4,0.4,2,0.485949,0.346575,0.139374,1E-4
4,10000000,0.4,1,1000,0.4,0.4,0,1,0.735585,0.596225,0.13936,1E-4
4,10000000,0.4,1,1000,0.4,0.4,0,2,0.735585,0.596225,0.13936,1E-4
8,10000000,0.2,2,10000,0.4,0.2,0,1,1.85889,1.71975,0.139139,1E-3
8,10000000,0.2,2,10000,0.4,0.2,0,2,1.85889,1.71975,0.139139,1E-3
8,100000,0.4,1,1000,1,0.4,0.2,1,57.3666,57.2279,0.138726,1E-2
8,1000000,0.2,1,100,0.4,0.4,0,2,0.614828,0.476161,0.138667,1E-4
2,1000000,0.2,2,10,0.4,0.4,0.2,1,0.423568,0.284903,0.138665,1E-5
8,1000000,0.2,2,100,0.7,0,0.4,1,4.20398,4.06552,0.138465,1E-4
8,1000000,0.2,1,1000,1,0.2,0.4,2,40.13,39.9915,0.138422,1E-3
4,1000000,0.4,2,10,1,0,0.4,1,13.4727,13.3346,0.138149,1E-5
8,10000000,0.2,1,10000,0.7,0,0.4,1,11.5537,11.4156,0.138099,1E-3
8,10000000,0.2,2,10000,0.7,0,0.4,2,11.5537,11.4156,0.138099,1E-3
8,1000000,0.2,1,100,0.4,0.4,0,1,0.614828,0.476769,0.138058,1E-4
4,1000000,0,1,100,0.4,0.2,0.4,1,0.612213,0.474474,0.137739,1E-4
4,1000000,0,2,100,0.4,0.2,0.4,1,0.612213,0.474474,0.137739,1E-4
8,10000000,0.2,2,1000,0.4,0.2,0.4,1,0.640377,0.503017,0.13736,1E-4
2,100000,0.4,1,10,1,0.2,0.4,2,17.4401,17.3029,0.137212,1E-4
2,10000000,0.4,1,1000,1,0.4,0,1,48.3,48.163,0.137025,1E-4
2,10000000,0.4,1,1000,1,0.4,0,2,48.3,48.163,0.137025,1E-4
2,10000000,0.2,1,10000,0.7,0.2,0.2,2,13.9198,13.7829,0.136873,1E-3
8,10000000,0,2,100,0.7,0.2,0.4,2,2.3342,2.19745,0.136744,1E-5
2,100000,0.4,1,10,0.4,0.2,0.4,1,0.567759,0.431123,0.136636,1E-4
4,10000000,0,1,1000,0.4,0.2,0.4,1,0.650701,0.514142,0.136559,1E-4
4,10000000,0,2,1000,0.4,0.2,0.4,1,0.650701,0.514142,0.136559,1E-4
4,1000000,0,1,10000,0.7,0.4,0.4,2,23.669,23.5325,0.136505,1E-2
4,1000000,0,2,10000,0.7,0.4,0.4,2,23.669,23.5325,0.136505,1E-2
4,100000,0,1,10000,0.7,0.4,0.2,1,52.9261,52.7896,0.136484,1E-1
4,100000,0,2,10000,0.7,0.4,0.2,1,52.9261,52.7896,0.136484,1E-1
4,1000000,0.4,2,100,1,0.2,0.4,2,26.1438,26.0075,0.136283,1E-4
8,100000,0.4,2,10,0.7,0,0.4,2,2.19854,2.06282,0.135716,1E-4
2,1000000,0.2,1,10,0.4,0.4,0.4,1,0.413242,0.27818,0.135062,1E-5
4,100000,0.4,2,100,0.4,0.2,0.2,2,1.70846,1.5737,0.134765,1E-3
8,100000,0.4,1,10,0.4,0.4,0.2,1,0.500531,0.365787,0.134744,1E-4
2,1000000,0.4,1,100,0.4,0.4,0.2,2,0.73499,0.600425,0.134565,1E-4
2,10000000,0.4,2,100,0.4,0.4,0,1,0.483818,0.349363,0.134455,1E-5
2,10000000,0.4,2,100,0.4,0.4,0,2,0.483818,0.349363,0.134455,1E-5
2,100000,0.4,1,10,0.4,0.4,0.2,2,0.609825,0.475458,0.134367,1E-4
8,10000000,0,1,100,0.7,0.2,0.4,2,2.3342,2.20003,0.134167,1E-5
8,1000000,0.4,2,100,0.4,0.2,0.2,1,0.582702,0.448585,0.134116,1E-4
2,10000000,0.4,1,1000,0.4,0.4,0.2,2,0.784787,0.650854,0.133933,1E-4
2,1000000,0.4,1,100,0.4,0.2,0.4,1,0.657304,0.523401,0.133903,1E-4
8,1000000,0.2,2,10000,1,0.2,0,1,61.3722,61.2386,0.133605,1E-2
8,1000000,0.2,2,10000,1,0.2,0,2,61.3722,61.2386,0.133605,1E-2
2,10000000,0.4,1,1000,0.4,0.2,0.4,1,0.688745,0.555427,0.133319,1E-4
8,10000000,0.2,1,100,0.7,0.2,0.4,2,2.29956,2.16629,0.133268,1E-5
4,10000000,0,1,100,0.4,0.4,0.4,1,0.375047,0.242033,0.133014,1E-5
4,10000000,0,2,100,0.4,0.4,0.4,1,0.375047,0.242033,0.133014,1E-5
4,1000000,0.4,2,1000,0.4,0.2,0.2,2,1.8266,1.6936,0.133,1E-3
4,1000000,0.4,1,1000,1,0.2,0.2,1,51.0043,50.8714,0.132841,1E-3
4,10000000,0.4,2,10000,0.4,0.2,0.2,2,1.86202,1.72943,0.132594,1E-3
4,10000000,0,1,10000,0.7,0.2,0.2,2,12.8606,12.7282,0.132333,1E-3
4,10000000,0,2,10000,0.7,0.2,0.2,2,12.8606,12.7282,0.132333,1E-3
8,1000000,0.2,1,1000,0.4,0,0.4,2,1.70744,1.57513,0.132313,1E-3
8,1000000,0.2,2,1000,0.4,0,0.4,1,1.70744,1.57513,0.132313,1E-3
2,100000,0.2,1,1000,0.7,0.2,0,1,25.3838,25.2517,0.132164,1E-2
2,100000,0.2,1,1000,0.7,0.2,0,2,25.3838,25.2517,0.132164,1E-2
8,100000,0.2,1,100,1,0,0.2,2,31.5789,31.4468,0.132142,1E-3
8,10000000,0.2,1,1000,0.4,0.4,0,1,0.682036,0.549958,0.132078,1E-4
8,10000000,0.2,1,1000,0.4,0.4,0,2,0.682036,0.549958,0.132078,1E-4
8,10000000,0.2,1,10000,0.4,0,0.4,2,1.74874,1.6168,0.131942,1E-3
8,10000000,0.2,2,10000,0.4,0,0.4,1,1.74874,1.6168,0.131942,1E-3
8,1000000,0.4,1,1000,0.7,0,0.2,2,10.8011,10.6693,0.131736,1E-3
8,1000000,0.4,2,1000,0.7,0,0.2,1,10.8011,10.6693,0.131736,1E-3
2,100000,0.2,2,1000,1,0.2,0,1,57.5365,57.4048,0.131712,1E-2
2,100000,0.2,2,1000,1,0.2,0,2,57.5365,57.4048,0.131712,1E-2
8,100000,0.2,2,1000,1,0.2,0.2,2,51.6479,51.5164,0.131512,1E-2
2,10000000,0.2,1,1000,0.7,0.2,0.4,2,6.1973,6.06596,0.131335,1E-4
4,1000000,0,1,100,0.4,0.4,0.2,2,0.640646,0.509467,0.131179,1E-4
4,1000000,0,2,100,0.4,0.4,0.2,2,0.640646,0.509467,0.131179,1E-4
8,100000,0.4,1,10,0.4,0.4,0,2,0.429565,0.298685,0.13088,1E-4
4,1000000,0,1,10000,0.7,0.2,0.4,2,22.3842,22.2538,0.130422,1E-2
4,1000000,0,2,10000,0.7,0.2,0.4,2,22.3842,22.2538,0.130422,1E-2
2,1000000,0.2,2,10000,1,0.2,0.2,1,67.7393,67.6088,0.130414,1E-2
4,10000000,0,1,1000,0.4,0.4,0.2,2,0.693164,0.562771,0.130393,1E-4
4,10000000,0,2,1000,0.4,0.4,0.2,2,0.693164,0.562771,0.130393,1E-4
2,1000000,0.4,2,10,0.4,0.4,0,1,0.400745,0.270372,0.130373,1E-5
2,1000000,0.4,2,10,0.4,0.4,0,2,0.400745,0.270372,0.130373,1E-5
8,100000,0.2,1,100,0.4,0.4,0.2,2,1.65744,1.52742,0.13002,1E-3
8,100000,0.2,2,100,0.4,0.4,0.4,2,1.58056,1.45083,0.129735,1E-3
8,10000000,0.4,2,1000,0.4,0.2,0.2,1,0.634291,0.504584,0.129706,1E-4
8,100000,0.2,2,10,0.4,0.2,0.2,1,0.401222,0.271779,0.129443,1E-4
8,100000,0.2,1,100,0.4,0.2,0.2,1,1.6182,1.48904,0.129157,1E-3
8,10000000,0.4,1,10000,0.7,0,0.2,2,11.9239,11.7953,0.128599,1E-3
8,10000000,0.4,2,10000,0.7,0,0.2,1,11.9239,11.7953,0.128599,1E-3
2,10000000,0.4,1,100,0.4,0.4,0.4,1,0.466396,0.337852,0.128544,1E-5
2,1000000,0.4,1,10000,0.4,0,0.4,1,6.28615,6.15768,0.128468,1E-2
2,1000000,0.4,2,10000,0.4,0,0.4,2,6.28615,6.15768,0.128468,1E-2
8,10000000,0.2,2,1000,0.4,0.4,0.2,2,0.664963,0.536541,0.128422,1E-4
4,100000,0.2,1,1000,0.7,0.4,0.2,2,24.3988,24.2704,0.128402,1E-2
2,10000000,0,1,100,0.4,0.4,0.2,1,0.463613,0.335222,0.128391,1E-5
2,10000000,0,2,100,0.4,0.4,0.2,1,0.463613,0.335222,0.128391,1E-5
2,100000,0.4,1,1000,0.4,0,0.4,1,6.2185,6.09017,0.128337,1E-2
2,100000,0.4,2,1000,0.4,0,0.4,2,6.2185,6.09017,0.128337,1E-2
2,10000000,0.2,1,100,1,0.2,0.4,2,23.1705,23.0424,0.128135,1E-5
8,100000,0,1,10,0.4,0.4,0.2,2,0.409939,0.281986,0.127954,1E-4
8,100000,0.2,1,10,0.4,0.4,0,1,0.45571,0.327796,0.127914,1E-4
8,10000000,0.2,1,10000,1,0.2,0.2,2,49.993,49.8656,0.127416,1E-3
4,1000000,0,1,10000,0.7,0.2,0,1,25.4399,25.3126,0.127268,1E-2
4,1000000,0,1,10000,0.7,0.2,0,2,25.4399,25.3126,0.127268,1E-2
4,1000000,0,2,10000,0.7,0.2,0,1,25.4399,25.3126,0.127268,1E-2
4,1000000,0,2,10000,0.7,0.2,0,2,25.4399,25.3126,0.127268,1E-2
8,100000,0.2,1,100,0.4,0,0.4,2,1.56529,1.43823,0.127059,1E-3
2,1000000,0.4,1,100,1,0.2,0.2,2,32.0898,31.963,0.12675,1E-4
8,100000,0.4,1,10000,1,0,0.2,2,77.7504,77.6237,0.126738,1E-1
8,100000,0.4,2,10000,1,0,0.2,1,77.7504,77.6237,0.126738,1E-1
2,1000000,0.2,1,10,1,0,0.2,1,16.773,16.6462,0.126734,1E-5
2,1000000,0.2,2,10,1,0,0.2,2,16.773,16.6462,0.126734,1E-5
8,100000,0.4,1,1000,1,0,0.2,2,54.5999,54.4732,0.126705,1E-2
8,100000,0.4,2,1000,1,0,0.2,1,54.5999,54.4732,0.126705,1E-2
8,100000,0.4,1,10,1,0,0.4,1,11.5898,11.4631,0.12669,1E-4
8,10000000,0.2,2,100,0.4,0.4,0.4,1,0.325116,0.198517,0.126598,1E-5
2,1000000,0.2,1,1000,1,0,0.2,1,49.6483,49.5218,0.126475,1E-3
2,1000000,0.2,1,10000,1,0,0.2,1,66.4283,66.3019,0.126475,1E-2
2,1000000,0.2,2,1000,1,0,0.2,2,49.6483,49.5218,0.126475,1E-3
2,1000000,0.2,2,10000,1,0,0.2,2,66.4283,66.3019,0.126475,1E-2
8,100000,0,1,10,0.7,0,0.4,2,2.27481,2.14839,0.126422,1E-4
8,100000,0,2,10,0.7,0,0.4,2,2.27481,2.14839,0.126422,1E-4
4,10000000,0.4,1,10,1,0,0.2,1,11.018,10.8917,0.126316,1E-6
8,1000000,0.4,1,10,0.7,0,0.4,2,1.19495,1.06865,0.126303,1E-5
2,1000000,0.2,1,100,1,0,0.2,1,32.9269,32.8006,0.126266,1E-4
2,1000000,0.2,2,100,1,0,0.2,2,32.9269,32.8006,0.126266,1E-4
8,1000000,0,1,1000,1,0.2,0.4,2,39.857,39.7309,0.126178,1E-3
8,1000000,0,2,1000,1,0.2,0.4,2,39.857,39.7309,0.126178,1E-3
8,100000,0.2,1,1000,0.7,0.2,0.4,2,20.6339,20.5079,0.126039,1E-2
4,1000000,0.4,1,10,0.4,0.4,0.2,1,0.226636,0.100721,0.125915,1E-5
8,1000000,0.4,2,10,0.4,0.4,0.2,1,0.242217,0.116381,0.125836,1E-5
2,10000000,0,1,1000,1,0,0.2,1,42.5752,42.4494,0.12583,1E-4
2,10000000,0,1,10000,1,0,0.2,1,56.9588,56.833,0.12583,1E-3
2,10000000,0,1,1000,1,0,0.2,2,42.5752,42.4494,0.12583,1E-4
2,10000000,0,1,10000,1,0,0.2,2,56.9588,56.833,0.12583,1E-3
2,10000000,0,2,1000,1,0,0.2,1,42.5752,42.4494,0.12583,1E-4
2,10000000,0,2,10000,1,0,0.2,1,56.9588,56.833,0.12583,1E-3
2,10000000,0,2,1000,1,0,0.2,2,42.5752,42.4494,0.12583,1E-4
2,10000000,0,2,10000,1,0,0.2,2,56.9588,56.833,0.12583,1E-3
2,10000000,0,1,100,1,0,0.2,1,28.2421,28.1162,0.125821,1E-5
2,10000000,0,1,100,1,0,0.2,2,28.2421,28.1162,0.125821,1E-5
2,10000000,0,2,100,1,0,0.2,1,28.2421,28.1162,0.125821,1E-5
2,10000000,0,2,100,1,0,0.2,2,28.2421,28.1162,0.125821,1E-5
4,10000000,0.4,2,10,1,0,0.2,2,11.018,10.8926,0.125417,1E-6
2,1000000,0.2,1,1000,1,0.2,0.2,2,44.3577,44.2323,0.125414,1E-3
8,1000000,0,1,1000,0.7,0.2,0.2,2,11.0343,10.909,0.125257,1E-3
8,1000000,0,2,1000,0.7,0.2,0.2,2,11.0343,10.909,0.125257,1E-3
8,10000000,0.2,1,1000,0.7,0,0.4,2,5.34274,5.21749,0.125248,1E-4
8,10000000,0.2,2,1000,0.7,0,0.4,1,5.34274,5.21749,0.125248,1E-4
4,100000,0.2,1,10000,1,0,0.2,2,78.8796,78.7544,0.125185,1E-1
4,100000,0.2,2,10000,1,0,0.2,1,78.8796,78.7544,0.125185,1E-1
4,100000,0.2,1,1000,1,0,0.2,2,57.3123,57.1871,0.125177,1E-2
4,100000,0.2,2,1000,1,0,0.2,1,57.3123,57.1871,0.125177,1E-2
2,10000000,0,1,1000,1,0.2,0,1,44.9551,44.83,0.125114,1E-4
2,10000000,0,1,1000,1,0.2,0,2,44.9551,44.83,0.125114,1E-4
2,10000000,0,2,1000,1,0.2,0,1,44.9551,44.83,0.125114,1E-4
2,10000000,0,2,1000,1,0.2,0,2,44.9551,44.83,0.125114,1E-4
2,10000000,0.2,1,10000,1,0.2,0,1,55.2026,55.0776,0.125033,1E-3
2,10000000,0.2,1,10000,1,0.2,0,2,55.2026,55.0776,0.125033,1E-3
2,10000000,0,1,10,1,0,0.2,1,14.3939,14.2689,0.124983,1E-6
2,10000000,0,1,10,1,0,0.2,2,14.3939,14.2689,0.124983,1E-6
2,10000000,0,2,10,1,0,0.2,1,14.3939,14.2689,0.124983,1E-6
2,10000000,0,2,10,1,0,0.2,2,14.3939,14.2689,0.124983,1E-6
2,1000000,0.2,2,10000,0.7,0.2,0.4,2,21.4146,21.2897,0.12494,1E-2
2,100000,0.2,2,10,0.4,0.2,0,1,0.542919,0.418042,0.124877,1E-4
2,100000,0.2,2,10,0.4,0.2,0,2,0.542919,0.418042,0.124877,1E-4
4,100000,0,1,1000,0.7,0,0.2,1,22.1432,22.0183,0.124875,1E-2
4,100000,0,1,1000,0.7,0,0.2,2,22.1432,22.0183,0.124875,1E-2
4,100000,0,2,1000,0.7,0,0.2,1,22.1432,22.0183,0.124875,1E-2
4,100000,0,2,1000,0.7,0,0.2,2,22.1432,22.0183,0.124875,1E-2
8,1000000,0.2,1,10,1,0,0.4,2,9.53551,9.41074,0.124775,1E-5
8,1000000,0.2,2,100,0.4,0.4,0.2,2,0.599478,0.474787,0.12469,1E-4
2,1000000,0,1,1000,1,0.2,0.2,1,55.723,55.5983,0.124635,1E-3
2,1000000,0,2,1000,1,0.2,0.2,1,55.723,55.5983,0.124635,1E-3
2,1000000,0.4,1,10,0.4,0.4,0.4,1,0.386087,0.261468,0.124619,1E-5
2,1000000,0,1,10,0.4,0.4,0.2,1,0.383863,0.259397,0.124467,1E-5
2,1000000,0,2,10,0.4,0.4,0.2,1,0.383863,0.259397,0.124467,1E-5
4,100000,0.2,1,100,1,0,0.2,2,35.8948,35.7704,0.124372,1E-3
4,100000,0.2,2,100,1,0,0.2,1,35.8948,35.7704,0.124372,1E-3
2,100000,0.2,2,100,0.4,0.2,0.2,2,1.71988,1.59554,0.124339,1E-3
4,100000,0.2,1,10000,1,0.2,0.4,1,80.9017,80.7774,0.124332,1E-1
4,1000000,0,1,100,0.7,0,0.4,1,4.55784,4.43371,0.124121,1E-4
4,1000000,0,1,100,0.7,0,0.4,2,4.55784,4.43371,0.124121,1E-4
4,1000000,0,2,100,0.7,0,0.4,1,4.55784,4.43371,0.124121,1E-4
4,1000000,0,2,100,0.7,0,0.4,2,4.55784,4.43371,0.124121,1E-4
8,1000000,0.2,1,1000,0.4,0.4,0.2,2,1.84786,1.72395,0.123913,1E-3
8,100000,0.2,2,1000,0.7,0.4,0.4,2,20.9994,20.8757,0.123693,1E-2
4,10000000,0.2,2,100,0.4,0.4,0.2,1,0.355399,0.231804,0.123595,1E-5
2,100000,0.4,1,100,1,0.2,0,1,42.21,42.0865,0.123547,1E-3
2,100000,0.4,1,100,1,0.2,0,2,42.21,42.0865,0.123547,1E-3
4,100000,0.4,2,10,1,0,0.2,1,15.9745,15.851,0.123453,1E-4
2,1000000,0.2,2,1000,0.4,0.2,0.2,2,1.80642,1.68298,0.123446,1E-3
4,100000,0.4,1,100,0.7,0,0.4,1,9.06537,8.94195,0.123417,1E-3
4,100000,0.4,2,100,0.7,0,0.4,2,9.06537,8.94195,0.123417,1E-3
4,1000000,0.4,2,10,0.4,0.4,0.2,1,0.326537,0.203142,0.123395,1E-5
2,10000000,0.2,2,10000,1,0.4,0,1,51.7405,51.6171,0.123334,1E-3
2,10000000,0.2,2,10000,1,0.4,0,2,51.7405,51.6171,0.123334,1E-3
2,1000000,0,1,100,0.4,0.4,0.4,2,0.639412,0.516147,0.123265,1E-4
2,1000000,0,2,100,0.4,0.4,0.4,2,0.639412,0.516147,0.123265,1E-4
8,1000000,0.2,1,10,0.7,0.2,0.4,2,1.24149,1.11822,0.123262,1E-5
4,100000,0,2,10,0.4,0.2,0.4,1,0.506985,0.383749,0.123236,1E-4
8,10000000,0.2,1,10000,0.4,0.4,0.2,2,1.91197,1.78874,0.123232,1E-3
2,10000000,0.2,2,10000,0.4,0.2,0.2,2,1.83269,1.70949,0.123197,1E-3
4,1000000,0.2,2,100,0.4,0.2,0.2,1,0.592339,0.469178,0.123162,1E-4
2,100000,0,1,10,0.4,0.4,0.4,2,0.530828,0.408131,0.122696,1E-4
2,100000,0,2,10,0.4,0.4,0.4,2,0.530828,0.408131,0.122696,1E-4
2,10000000,0,1,1000,0.4,0.4,0.4,2,0.682442,0.559797,0.122645,1E-4
2,10000000,0,2,1000,0.4,0.4,0.4,2,0.682442,0.559797,0.122645,1E-4
4,1000000,0,1,100,0.7,0.2,0.4,2,4.66638,4.54373,0.122643,1E-4
4,1000000,0,2,100,0.7,0.2,0.4,2,4.66638,4.54373,0.122643,1E-4
4,1000000,0.4,1,1000,0.7,0,0.4,1,10.8283,10.7058,0.122558,1E-3
4,1000000,0.4,2,1000,0.7,0,0.4,2,10.8283,10.7058,0.122558,1E-3
4,1000000,0.4,2,100,0.4,0.4,0.4,2,0.611325,0.488912,0.122412,1E-4
4,10000000,0,1,1000,0.7,0,0.4,1,5.48602,5.36365,0.122366,1E-4
4,10000000,0,1,1000,0.7,0,0.4,2,5.48602,5.36365,0.122366,1E-4
4,10000000,0,2,1000,0.7,0,0.4,1,5.48602,5.36365,0.122366,1E-4
4,10000000,0,2,1000,0.7,0,0.4,2,5.48602,5.36365,0.122366,1E-4
4,100000,0.2,1,100,0.7,0.2,0.2,2,9.58636,9.46404,0.122326,1E-3
4,10000000,0.4,1,10000,0.7,0,0.4,1,11.7125,11.5902,0.122319,1E-3
4,10000000,0.4,2,10000,0.7,0,0.4,2,11.7125,11.5902,0.122319,1E-3
8,100000,0,1,100,1,0,0.2,1,31.4742,31.3519,0.122316,1E-3
4,1000000,0,1,10000,0.7,0,0.2,1,23.7127,23.5904,0.122277,1E-2
4,1000000,0,1,10000,0.7,0,0.2,2,23.7127,23.5904,0.122277,1E-2
4,1000000,0,2,10000,0.7,0,0.2,1,23.7127,23.5904,0.122277,1E-2
4,1000000,0,2,10000,0.7,0,0.2,2,23.7127,23.5904,0.122277,1E-2
8,1000000,0.2,2,100,0.7,0.2,0.4,2,4.23968,4.11746,0.12222,1E-4
8,100000,0.2,1,10000,0.4,0,0,1,25.2797,25.1575,0.122188,1E-1
8,100000,0.2,1,10000,0.4,0,0,2,25.2797,25.1575,0.122188,1E-1
8,100000,0.2,2,10000,0.4,0,0,1,25.2797,25.1575,0.122188,1E-1
8,100000,0.2,2,10000,0.4,0,0,2,25.2797,25.1575,0.122188,1E-1
2,100000,0.2,1,10000,0.4,0,0.2,1,25.0432,24.9212,0.122037,1E-1
2,100000,0.2,2,10000,0.4,0,0.2,2,25.0432,24.9212,0.122037,1E-1
4,1000000,0.2,2,100,1,0.2,0.4,2,26.1973,26.0753,0.122032,1E-4
4,10000000,0.2,2,1000,0.4,0.2,0.2,1,0.630062,0.508052,0.122009,1E-4
8,1000000,0.4,1,10,1,0,0.2,1,9.28714,9.16529,0.121843,1E-5
8,1000000,0.2,1,1000,0.4,0.2,0.2,1,1.78193,1.66016,0.121776,1E-3
2,1000000,0.2,2,100,0.4,0.2,0,1,0.628549,0.506819,0.121729,1E-4
2,1000000,0.2,2,100,0.4,0.2,0,2,0.628549,0.506819,0.121729,1E-4
4,10000000,0.4,2,1000,0.4,0.4,0.4,2,0.66136,0.539694,0.121666,1E-4
8,1000000,0.2,2,1000,0.4,0.4,0.4,2,1.75996,1.63837,0.121583,1E-3
8,1000000,0.4,2,10000,1,0.2,0,1,61.2225,61.101,0.121543,1E-2
8,1000000,0.4,2,10000,1,0.2,0,2,61.2225,61.101,0.121543,1E-2
2,100000,0.2,1,100,1,0.4,0.2,2,37.2656,37.1441,0.121461,1E-3
8,100000,0.2,2,100,1,0,0.2,1,31.5789,31.4574,0.121452,1E-3
4,10000000,0.4,2,1000,1,0.2,0.2,2,37.9478,37.8264,0.12141,1E-4
8,10000000,0.2,1,10000,0.4,0.2,0.2,1,1.83196,1.71058,0.121382,1E-3
8,1000000,0.4,2,10,1,0,0.2,2,9.28714,9.16594,0.121198,1E-5
8,1000000,0.4,1,10000,0.4,0.2,0.2,2,6.56124,6.44011,0.121129,1E-2
2,10000000,0.2,2,1000,0.4,0.2,0,1,0.658689,0.537561,0.121128,1E-4
2,10000000,0.2,2,1000,0.4,0.2,0,2,0.658689,0.537561,0.121128,1E-4
8,100000,0.4,1,1000,0.4,0.2,0.2,2,6.40154,6.28055,0.120992,1E-2
8,10000000,0.2,2,10000,0.4,0.4,0.4,2,1.82021,1.69934,0.120869,1E-3
4,1000000,0,1,10,0.7,0,0.4,1,1.43358,1.31306,0.120517,1E-5
8,100000,0.2,1,1000,0.7,0.4,0.2,2,23.0103,22.8899,0.120358,1E-2
8,100000,0,2,10,0.4,0.2,0.4,1,0.414751,0.294546,0.120205,1E-4
8,1000000,0.4,1,100,0.4,0.4,0,1,0.581765,0.461562,0.120203,1E-4
8,10000000,0.4,2,100,0.4,0.4,0.2,1,0.316355,0.196204,0.120152,1E-5
4,100000,0.4,1,1000,0.4,0.4,0,1,7.05835,6.93833,0.120015,1E-2
4,100000,0.4,1,1000,0.4,0.4,0,2,7.05835,6.93833,0.120015,1E-2
2,1000000,0.2,2,10000,0.7,0.4,0.2,2,29.6329,29.5131,0.119872,1E-2
4,10000000,0.2,1,100,0.4,0.4,0.4,1,0.347093,0.227283,0.119811,1E-5
4,1000000,0,2,10,0.4,0.4,0.4,1,0.304028,0.184437,0.119591,1E-5
