#rank requests AS=1 AS=2 AS=3 AS=4 AS=5 AS=6 AS=7 AS=8 AS=9 AS=10
206 16 0 0 0 0.000995025 0 0.00132802 0 0.00286841 0.000271739 0
207 16 0 0 0 0.0013267 0 0.000664011 0 0.00107565 0.0013587 0.000551268
208 3 0 0 0 0.000331675 0 0.000332005 0 0 0 0.000275634
209 11 0 0 0 0.0013267 0 0.000332005 0 0.00143421 0.000271739 0.000275634
210 15 0 0 0 0.000995025 0 0.000332005 0 0.00215131 0.000543478 0.000826902
211 5 0 0 0 0.000331675 0 0 0 0.000717103 0.000271739 0.000275634
212 8 0 0 0 0 0.00238095 0.000332005 0 0.00179276 0.000271739 0
213 11 0 0 0 0.000995025 0 0.000664011 0 0.00179276 0 0.000275634
214 3 0 0 0 0.000331675 0 0.000332005 0 0 0 0.000275634
215 13 0 0 0 0.00165837 0 0.000332005 0 0.000358551 0.000815217 0.000826902
216 7 0 0 0 0 0 0.000664011 0 0.000717103 0.000815217 0
217 10 0 0 0 0.0013267 0.0047619 0 0 0 0.000271739 0.000826902
218 10 0 0 0 0.00199005 0.00238095 0 0 0.000358551 0.000271739 0.000275634
219 6 0 0 0 0 0 0 0 0 0.000815217 0.000826902
220 7 0 0 0 0.0013267 0 0.000332005 0 0 0 0.000551268
221 14 0 0 0 0 0 0.00298805 0 0.000358551 0.000543478 0.000551268
222 7 0 0 0 0.000331675 0 0 0 0.000358551 0.0013587 0
223 15 0 0 0.00714286 0.000331675 0 0 0 0.000717103 0.00217391 0
224 7 0 0 0 0.000331675 0 0.000664011 0 0.00107565 0 0.000275634
225 9 0 0 0 0.000331675 0 0.000332005 0 0.000358551 0.000271739 0.00137817
226 12 0 0 0 0.00165837 0 0 0 0.000717103 0.0013587 0
227 13 0 0 0 0.00165837 0 0 0 0.000358551 0.0013587 0.000551268
228 12 0 0 0.00714286 0.000995025 0 0 0 0.000717103 0 0.000826902
229 17 0 0 0 0.00066335 0 0.000332005 0.0178571 0 0.000271739 0.00220507
230 11 0 0 0 0.000331675 0.00238095 0 0 0.000717103 0 0.00192944
231 8 0 0 0 0.000995025 0.00238095 0 0 0.00107565 0.000271739 0
232 14 0 0 0 0.0013267 0.0119048 0 0 0.000358551 0.000543478 0.000551268
