#rank q_avg rank q_avg
539 NaN 0 NaN
540 NaN 0 NaN
541 2 0 0
542 NaN 0 NaN
543 2 0 0
544 NaN 0 NaN
545 NaN 0 NaN
546 2 0 0
547 NaN 0 NaN
548 2 0 0
549 2 0 0
550 2 0 0
551 2 0 0
552 2 0 0
553 NaN 0 NaN
554 NaN 0 NaN
555 NaN 0 NaN
556 2 0 0
557 NaN 0 NaN
558 NaN 0 NaN
559 NaN 0 NaN
560 NaN 0 NaN
561 2 0 0
562 2 0 0
563 NaN 0 NaN
564 NaN 0 NaN
565 NaN 0 NaN
566 NaN 0 NaN
567 2 0 0
568 NaN 0 NaN
569 NaN 0 NaN
570 NaN 0 NaN
571 NaN 0 NaN
572 2 0 0
573 NaN 0 NaN
574 NaN 0 NaN
575 NaN 0 NaN
576 NaN 0 NaN
577 2 0 0
578 2 0 0
579 NaN 0 NaN
580 NaN 0 NaN
581 2 0 0
582 NaN 0 NaN
583 NaN 0 NaN
584 NaN 0 NaN
585 NaN 0 NaN
586 NaN 0 NaN
587 NaN 0 NaN
588 NaN 0 NaN
589 NaN 0 NaN
590 NaN 0 NaN
591 NaN 0 NaN
592 NaN 0 NaN
593 NaN 0 NaN
594 NaN 0 NaN
595 NaN 0 NaN
596 NaN 0 NaN
597 NaN 0 NaN
598 NaN 0 NaN
599 NaN 0 NaN
600 NaN 0 NaN
601 2 0 0
602 2 0 0
603 NaN 0 NaN
604 NaN 0 NaN
605 NaN 0 NaN
606 NaN 0 NaN
607 NaN 0 NaN
608 NaN 0 NaN
609 NaN 0 NaN
610 NaN 0 NaN
611 NaN 0 NaN
612 2 0 0
613 NaN 0 NaN
614 NaN 0 NaN
615 NaN 0 NaN
616 NaN 0 NaN
617 2 0 0
618 NaN 0 NaN
619 NaN 0 NaN
620 NaN 0 NaN
621 2 0 0
622 2 0 0
623 NaN 0 NaN
624 NaN 0 NaN
625 2 0 0
626 2 0 0
627 NaN 0 NaN
628 NaN 0 NaN
629 NaN 0 NaN
630 2 0 0
631 NaN 0 NaN
632 NaN 0 NaN
633 NaN 0 NaN
634 NaN 0 NaN
635 NaN 0 NaN
636 NaN 0 NaN
637 NaN 0 NaN
638 2 0 0
639 NaN 0 NaN
640 NaN 0 NaN
641 NaN 0 NaN
642 NaN 0 NaN
643 NaN 0 NaN
644 NaN 0 NaN
645 NaN 0 NaN
646 2 0 0
647 NaN 0 NaN
648 NaN 0 NaN
649 NaN 0 NaN
650 NaN 0 NaN
651 NaN 0 NaN
652 NaN 0 NaN
653 NaN 0 NaN
654 NaN 0 NaN
655 NaN 0 NaN
656 NaN 0 NaN
657 NaN 0 NaN
658 2 0 0
659 NaN 0 NaN
660 NaN 0 NaN
661 2 0 0
662 2 0 0
663 NaN 0 NaN
664 NaN 0 NaN
665 NaN 0 NaN
666 NaN 0 NaN
667 NaN 0 NaN
668 NaN 0 NaN
669 NaN 0 NaN
670 NaN 0 NaN
671 NaN 0 NaN
672 NaN 0 NaN
673 2 0 0
674 NaN 0 NaN
675 2 0 0
676 NaN 0 NaN
677 NaN 0 NaN
678 NaN 0 NaN
679 NaN 0 NaN
680 NaN 0 NaN
681 NaN 0 NaN
682 NaN 0 NaN
683 NaN 0 NaN
684 2 0 0
685 2 0 0
686 2 0 0
687 2 0 0
688 2 0 0
689 NaN 0 NaN
690 NaN 0 NaN
691 NaN 0 NaN
692 NaN 0 NaN
693 2 0 0
694 NaN 0 NaN
695 NaN 0 NaN
696 NaN 0 NaN
697 NaN 0 NaN
698 NaN 0 NaN
699 NaN 0 NaN
700 NaN 0 NaN
