#1.filename_list 2.decision 3.decision_root 4.target_decision_probability 5.xi 6.forwarding 7.network 8.replacement 9.alpha 10.q 11.ctlg 12.csize 13.priceratio 14.id_rep 15.weights 16.simtime 17.lambda 18.window 19.variance 20.p_hit 21.stabilization_time 22.hit_on_node_0 23.total_cost 24.hdistance 25.client_requests 26.free_link_load 27.cheap_link_load 28.expensive_link_load 29.decision_yes 30.decision_no 31.decision_ratio 32.cost_fraction 33.cost_reduction_wrt_fix 34.potential_reduction_wrt_costopt 35.potential_reduction_wrt_costprobtailcons 36.cost_savings_wrt_fix 37.potential_savings_wrt_costprobtailcons 38.potential_savings_wrt_costopt 39.free_repo_cardinality 40.cheap_repo_cardinality 41.expensive_repo_cardinality 42.free_repo_popularity 43.cheap_repo_popularity 44.expensive_repo_popularity 
~/software/ccnsim/results/sim_vs_che/variance-0.05/window-60/simtime-1800/lambda-100/cost_scenario/q-0/F-nrr/D-fix0.01/xi-1/R-lru/alpha-1/ctlg-1e5/cachesize-1e3/weights-0.333_0.333_0.334/priceratio-1/ccn-id4.sca fix0.01 fix 0.01 1 nrr cost_scenario lru 1 0 1e5 1e3 1 4 0.333_0.333_0.334 1800 100 60 0.05 0.54357 1816.7 0.54357 55180 NaN 179334 27923 26673 27257 810 81043 0.0098958 0.47249 NaN NaN NaN NaN NaN NaN 33272 33152 33576 0.29907 0.34947 0.34947 
~/software/ccnsim/results/sim_vs_che/variance-0.05/window-60/simtime-1800/lambda-100/cost_scenario/q-0/F-nrr/D-fix0.01/xi-1/R-lru/alpha-1/ctlg-1e5/cachesize-1e3/weights-0.333_0.333_0.334/priceratio-1/ccn-id5.sca fix0.01 fix 0.01 1 nrr cost_scenario lru 1 0 1e5 1e3 1 5 0.333_0.333_0.334 1800 100 60 0.05 0.5332 1751.5 0.5332 55821 NaN 180531 28451 28192 27629 825 83447 0.0097897 0.53427 NaN NaN NaN NaN NaN NaN 33101 33496 33403 0.41885 0.31227 0.31227 
~/software/ccnsim/results/sim_vs_che/variance-0.05/window-60/simtime-1800/lambda-100/cost_scenario/q-0/F-nrr/D-fix0.01/xi-1/R-lru/alpha-1/ctlg-1e5/cachesize-1e3/weights-0.333_0.333_0.334/priceratio-1/ccn-id6.sca fix0.01 fix 0.01 1 nrr cost_scenario lru 1 0 1e5 1e3 1 6 0.333_0.333_0.334 1800 100 60 0.05 0.5429 1819.7 0.5429 55452 NaN 179271 27458 27994 26492 889 81055 0.010849 0.45253 NaN NaN NaN NaN NaN NaN 33436 33143 33421 0.32066 0.35999 0.35999 
~/software/ccnsim/results/sim_vs_che/variance-0.05/window-60/simtime-1800/lambda-100/cost_scenario/q-0/F-nrr/D-fix0.01/xi-1/R-lru/alpha-1/ctlg-1e5/cachesize-1e3/weights-0.333_0.333_0.334/priceratio-1/ccn-id7.sca fix0.01 fix 0.01 1 nrr cost_scenario lru 1 0 1e5 1e3 1 7 0.333_0.333_0.334 1800 100 60 0.05 0.53748 1767.8 0.53748 55431 NaN 180222 27571 27860 27925 861 82495 0.010329 0.52839 NaN NaN NaN NaN NaN NaN 33104 33508 33388 0.26774 0.3166 0.3166 
~/software/ccnsim/results/sim_vs_che/variance-0.05/window-60/simtime-1800/lambda-100/cost_scenario/q-0/F-nrr/D-fix0.01/xi-1/R-lru/alpha-1/ctlg-1e5/cachesize-1e3/weights-0.333_0.333_0.334/priceratio-1/ccn-id8.sca fix0.01 fix 0.01 1 nrr cost_scenario lru 1 0 1e5 1e3 1 8 0.333_0.333_0.334 1800 100 60 0.05 0.54061 1740.7 0.54061 54972 NaN 179846 27072 27648 27900 841 81779 0.010179 0.47686 NaN NaN NaN NaN NaN NaN 33481 33258 33261 0.32491 0.35879 0.35879 
~/software/ccnsim/results/sim_vs_che/variance-0.05/window-60/simtime-1800/lambda-100/cost_scenario/q-0/F-nrr/D-fix0.01/xi-1/R-lru/alpha-1/ctlg-1e5/cachesize-1e3/weights-0.333_0.333_0.334/priceratio-1/ccn-id9.sca fix0.01 fix 0.01 1 nrr cost_scenario lru 1 0 1e5 1e3 1 9 0.333_0.333_0.334 1800 100 60 0.05 0.53577 1886.2 0.53577 55362 NaN 179471 27954 27865 27497 841 82475 0.010094 0.51416 NaN NaN NaN NaN NaN NaN 33408 33169 33423 0.40092 0.31104 0.31104 
~/software/ccnsim/results/sim_vs_che/variance-0.05/window-60/simtime-1800/lambda-100/cost_scenario/q-0/F-nrr/D-fix0.01/xi-1/R-lru/alpha-1/ctlg-1e5/cachesize-1e3/weights-0.333_0.333_0.334/priceratio-1/ccn-id10.sca fix0.01 fix 0.01 1 nrr cost_scenario lru 1 0 1e5 1e3 1 10 0.333_0.333_0.334 1800 100 60 0.05 0.53849 1795.1 0.53849 54855 NaN 180405 27380 28403 27475 817 82441 0.0098129 0.42801 NaN NaN NaN NaN NaN NaN 33053 33534 33413 0.39398 0.28552 0.28552 
~/software/ccnsim/results/sim_vs_che/variance-0.05/window-60/simtime-1800/lambda-100/cost_scenario/q-0/F-nrr/D-fix0.01/xi-1/R-lru/alpha-1/ctlg-1e5/cachesize-1e3/weights-0.333_0.333_0.334/priceratio-1/ccn-id11.sca fix0.01 fix 0.01 1 nrr cost_scenario lru 1 0 1e5 1e3 1 11 0.333_0.333_0.334 1800 100 60 0.05 0.5344 1727.6 0.5344 55042 NaN 179822 28683 26888 28154 814 82911 0.0097223 0.47808 NaN NaN NaN NaN NaN NaN 33093 33554 33353 0.35828 0.32609 0.32609 
~/software/ccnsim/results/sim_vs_che/variance-0.05/window-60/simtime-1800/lambda-100/cost_scenario/q-0/F-nrr/D-fix0.01/xi-1/R-lru/alpha-1/ctlg-1e5/cachesize-1e3/weights-0.333_0.333_0.334/priceratio-1/ccn-id12.sca fix0.01 fix 0.01 1 nrr cost_scenario lru 1 0 1e5 1e3 1 12 0.333_0.333_0.334 1800 100 60 0.05 0.53515 1758.4 0.53515 55801 NaN 179068 27689 28112 27438 817 82422 0.0098151 0.43399 NaN NaN NaN NaN NaN NaN 33375 33440 33185 0.29392 0.42036 0.42036 
~/software/ccnsim/results/sim_vs_che/variance-0.05/window-60/simtime-1800/lambda-100/cost_scenario/q-0/F-nrr/D-fix0.01/xi-1/R-lru/alpha-1/ctlg-1e5/cachesize-1e3/weights-0.333_0.333_0.334/priceratio-1/ccn-id13.sca fix0.01 fix 0.01 1 nrr cost_scenario lru 1 0 1e5 1e3 1 13 0.333_0.333_0.334 1800 100 60 0.05 0.53601 1836 0.53601 55353 NaN 179030 27113 28240 27716 889 82180 0.010702 0.441 NaN NaN NaN NaN NaN NaN 33151 33481 33368 0.41536 0.28236 0.28236 
~/software/ccnsim/results/sim_vs_che/variance-0.05/window-60/simtime-1800/lambda-100/cost_scenario/q-0/F-nrr/D-fix0.01/xi-1/R-lru/alpha-1/ctlg-1e5/cachesize-1e3/weights-0.333_0.333_0.334/priceratio-1/ccn-id14.sca fix0.01 fix 0.01 1 nrr cost_scenario lru 1 0 1e5 1e3 1 14 0.333_0.333_0.334 1800 100 60 0.05 0.53952 1810.2 0.53952 55427 NaN 179919 27196 27423 28231 785 82065 0.009475 0.49423 NaN NaN NaN NaN NaN NaN 32965 33555 33480 0.35423 0.3761 0.3761 
~/software/ccnsim/results/sim_vs_che/variance-0.05/window-60/simtime-1800/lambda-100/cost_scenario/q-0/F-nrr/D-fix0.01/xi-1/R-lru/alpha-1/ctlg-1e5/cachesize-1e3/weights-0.333_0.333_0.334/priceratio-1/ccn-id15.sca fix0.01 fix 0.01 1 nrr cost_scenario lru 1 0 1e5 1e3 1 15 0.333_0.333_0.334 1800 100 60 0.05 0.5437 1727 0.5437 55086 NaN 180034 27492 27594 27064 836 81314 0.010177 0.44499 NaN NaN NaN NaN NaN NaN 33354 33285 33361 0.40057 0.28606 0.28606 
