#rank	alpha_0_mean	alpha_0_conf	alpha_0.5_mean	alpha_0.5_conf	alpha_0.8_mean	alpha_0.8_conf	alpha_1_mean	alpha_1_conf	alpha_1.2_mean	alpha_1.2_conf	alpha_2_mean	alpha_2_conf
394	1	0	1	0	1	0	1	0	1	0	NaN	NaN
395	1	0	1	0	1	0	1	0	1	0	NaN	NaN
396	1	0	0.9	0.196	1	0	1	0	1	0	NaN	NaN
397	1	0	1	0	1	0	1	0	1	0	NaN	NaN
398	1	0	1	0	1	0	1	0	1	0	NaN	NaN
399	1	0	1	0	1	0	1	0	1	0	NaN	NaN
400	1	0	1	0	1	0	1	0	1	0	NaN	NaN
401	1	0	1	0	1	0	1	0	1	0	NaN	NaN
402	1	0	0.9	0.196	1	0	1	0	1	0	NaN	NaN
403	1	0	0.875	0.245	0.875	0.245	1	0	1	0	NaN	NaN
404	1	0	1	0	0.8571428571	0.28	1	0	1	0	NaN	NaN
405	1	0	0.9	0.196	1	0	1	0	1	0	NaN	NaN
406	1	0	1	0	1	0	1	0	1	0	NaN	NaN
407	1	0	1	0	1	0	1	0	1	0	NaN	NaN
408	1	0	1	0	1	0	1	0	1	0	2	0
409	1	0	1	0	0.8888888889	0.2177777778	1	0	1	0	NaN	NaN
410	1	0	1	0	0.8	0.392	1	0	1	0	NaN	NaN
411	1	0	1	0	1	0	1	0	1	0	NaN	NaN
412	0.9333333	0.130666732	1	0	0.8571428571	0.28	1	0	1	0	NaN	NaN
413	1	0	0.875	0.245	1	0	1	0	1	0	NaN	NaN
414	1	0	1	0	1	0	1	0	1	0	NaN	NaN
415	1	0	1	0	1	0	1	0	1	0	NaN	NaN
416	1	0	1	0	1	0	1	0	1	0	NaN	NaN
417	0.9833333	0.032666732	1	0	1	0	1	0	1	0	NaN	NaN
418	1	0	1	0	1	0	1	0	1	0	2	0
419	1	0	1	0	1	0	1	0	1	0	NaN	NaN
420	1	0	0.875	0.245	1	0	1	0	1	0	NaN	NaN
421	1	0	0.8888888889	0.2177777778	1	0	1	0	1	0	NaN	NaN
422	1	0	1	0	1	0	1	0	1	0	NaN	NaN
423	1	0	1	0	1	0	1	0	1	0	NaN	NaN
424	1	0	0.875	0.245	1	0	1.1666666667	0.3266666667	1	0	NaN	NaN
425	1	0	1	0	1	0	1	0	1	0	NaN	NaN
426	1	0	1	0	1	0	1	0	1	0	NaN	NaN
427	1	0	1	0	1	0	1	0	1	0	NaN	NaN
428	1	0	1	0	1	0	1	0	1	0	NaN	NaN
429	1	0	1	0	1	0	1	0	1	0	NaN	NaN
430	1	0	1	0	1	0	1	0	1	0	NaN	NaN
431	1	0	0.9	0.196	1	0	1	0	1	0	NaN	NaN
432	1	0	1	0	1	0	1	0	1	0	NaN	NaN
433	1	0	0.9	0.196	1	0	1	0	1	0	NaN	NaN
434	1	0	1	0	1	0	1	0	1	0	NaN	NaN
435	1	0	1	0	1	0	1	0	1	0	NaN	NaN
436	1	0	1	0	1	0	1	0	1	0	NaN	NaN
437	1	0	1	0	1	0	1	0	1	0	NaN	NaN
438	1	0	0.95	0.098	1	0	1	0	1	0	NaN	NaN
439	1	0	1	0	1	0	1	0	1	0	2	0
440	1	0	1	0	1	0	1	0	1	0	NaN	NaN
441	1	0	1	0	1	0	1	0	1	0	NaN	NaN
442	1	0	1	0	1	0	1	0	1	0	NaN	NaN
443	1	0	1	0	1	0	1	0	1	0	NaN	NaN
444	1	0	1	0	1	0	1	0	1	0	NaN	NaN
445	1	0	1	0	1	0	1	0	1	0	1	0
446	1	0	1	0	1	0	1	0	1	0	NaN	NaN
447	1	0	1	0	1	0	1	0	1	0	NaN	NaN
448	1	0	1	0	1	0	1	0	1	0	NaN	NaN
449	1	0	1	0	1	0	1	0	1	0	2	0
450	1	0	1	0	1	0	1	0	1	0	1	0
451	1	0	1	0	1	0	1	0	1.125	0.245	1	0
452	1	0	1	0	1	0	1	0	NaN	NaN	NaN	NaN
453	1	0	1	0	1	0	1	0	1	0	1	0
454	1	0	1	0	1	0	1	0	1	0	NaN	NaN
455	0.9	0.196	1	0	1	0	1	0	1	0	NaN	NaN
456	0.9	0.196	1	0	1	0	1	0	1	0	NaN	NaN
457	1	0	1	0	1	0	1	0	1	0	NaN	NaN
458	1	0	1	0	1	0	1	0	1	0	NaN	NaN
459	1	0	1	0	1	0	1	0	1	0	NaN	NaN
460	1	0	1	0	1	0	1	0	1	0	NaN	NaN
461	1	0	1	0	1	0	1	0	1	0	NaN	NaN
462	1	0	1	0	1	0	1	0	1	0	NaN	NaN
463	1	0	1	0	1	0	1	0	1	0	NaN	NaN
464	1	0	1	0	1	0	1	0	NaN	NaN	NaN	NaN
465	1	0	1	0	1	0	1	0	1	0	NaN	NaN
466	1	0	1	0	1	0	1	0	1	0	NaN	NaN
467	1	0	1	0	1	0	1	0	1	0	NaN	NaN
468	1	0	1	0	1	0	1	0	1	0	NaN	NaN
469	1	0	1	0	1.1666666667	0.3266666667	1	0	1	0	1	0
470	1	0	1	0	1.1111111111	0.2177777778	1	0	1	0	NaN	NaN
471	1	0	1	0	1	0	1	0	1	0	NaN	NaN
472	1	0	1	0	1	0	1	0	1	0	NaN	NaN
473	1	0	1	0	1	0	1.1428571429	0.28	1	0	NaN	NaN
474	1	0	1	0	1.125	0.245	1	0	1	0	NaN	NaN
475	1	0	1	0	1.25	0.49	1	0	1	0	NaN	NaN
476	1	0	1	0	1	0	1	0	1	0	NaN	NaN
477	1	0	1	0	1.1428571429	0.28	1	0	1	0	NaN	NaN
478	1	0	1	0	1	0	1	0	1	0	NaN	NaN
479	1	0	0.8888888889	0.2177777778	1.125	0.245	1	0	1	0	NaN	NaN
480	1	0	1	0	1	0	1	0	1	0	NaN	NaN
481	1	0	1	0	1.2	0.392	1	0	1	0	NaN	NaN
482	1	0	0.875	0.245	1.125	0.245	1	0	1	0	NaN	NaN
483	1	0	1	0	1	0	1	0	1	0	NaN	NaN
484	1	0	1	0	1	0	1	0	1	0	NaN	NaN
485	0.8888888889	0.2177777778	1	0	1	0	1	0	1	0	NaN	NaN
486	1	0	1	0	1	0	1	0	1	0	NaN	NaN
487	1	0	0.875	0.245	1	0	1	0	1	0	NaN	NaN
488	1	0	1	0	1	0	1	0	1	0	NaN	NaN
489	1	0	1	0	1	0	1	0	1	0	NaN	NaN
490	1	0	1	0	1	0	1	0	1	0	NaN	NaN
491	1	0	1	0	1	0	1	0	1	0	NaN	NaN
492	1	0	1	0	1	0	1	0	1	0	NaN	NaN
493	1	0	1	0	1	0	1	0	1	0	NaN	NaN
494	1	0	1	0	1	0	1	0	1	0	NaN	NaN
495	1	0	1	0	1	0	1	0	1	0	NaN	NaN
496	1	0	1	0	1	0	1	0	1	0	NaN	NaN
497	1	0	1	0	1	0	1	0	1	0	NaN	NaN
