533	518	547	519	569	545
557	548	571	555	590	533
477	463	485	476	505	568
545	518	687	538	572	563
559	552	596	556	587	569
544	529	537	538	580	531
485	474	499	482	514	556
526	507	546	519	549	538
545	520	568	535	576	575
537	521	567	532	568	524
517	502	521	514	543	547
497	473	491	489	521	578
496	483	486	494	522	535
548	535	572	547	571	516
483	475	512	481	496	511
523	508	579	523	540	545
522	522	788	525	551	574
509	497	600	506	549	562
517	508	546	521	552	571
461	460	697	461	491	544
502	500	557	504	534	529
507	493	737	502	536	532
524	504	784	510	559	524
526	508	858	511	545	534
567	559	630	563	594	539
516	510	569	513	526	537
521	522	844	520	544	526
481	470	540	469	499	564
511	507	566	506	542	548
503	493	492	494	514	555
504	499	496	500	532	533
493	476	465	476	507	526
521	507	463	507	548	554
536	526	519	524	555	562
550	538	535	538	574	514
540	528	523	526	560	525
541	528	548	529	562	535
535	529	547	527	563	557
512	508	695	497	522	555
559	549	883	549	581	575
515	510	543	505	533	523
531	527	524	522	550	553
531	520	511	509	552	535
534	524	522	523	558	581
542	540	529	531	561	520
530	516	485	502	552	527
514	508	480	499	536	568
510	503	527	499	534	548
517	511	527	507	540	540
525	518	592	507	545	541
526	519	698	510	537	524
560	558	641	544	581	547
563	549	565	538	575	529
538	530	581	524	560	531
544	533	578	533	559	515
529	518	516	510	548	533
518	511	557	509	542	519
547	539	586	525	558	529
511	500	530	496	532	495
544	532	551	529	559	556
529	514	550	519	550	515
545	537	567	537	564	591
522	517	534	512	551	521
520	510	513	513	544	548
543	532	533	529	557	556
541	531	533	537	575	535
569	549	558	557	593	584
522	512	539	520	539	541
505	487	493	504	519	534
568	544	556	560	593	526
531	517	539	522	549	564
548	523	517	538	571	610
535	521	539	527	559	569
510	485	515	506	540	530
544	532	565	542	564	565
552	526	577	548	582	545
526	504	727	509	540	496
487	478	539	487	526	552
548	534	548	539	572	518
475	456	466	468	502	528
516	503	524	508	534	550
540	514	612	524	566	520
520	505	545	519	553	580
498	484	501	491	520	557
527	512	555	531	559	585
522	504	864	509	535	526
519	506	578	512	545	550
500	487	492	498	519	547
542	532	570	547	566	591
559	536	521	554	586	549
526	518	515	531	555	514
517	496	515	512	547	568
520	501	515	517	551	535
526	519	550	523	552	514
526	512	602	516	549	554
505	486	518	497	526	539
507	486	573	496	529	541
555	541	603	550	579	537
516	502	565	510	549	546
531	511	574	532	560	537
539	514	562	533	561	528
549	535	565	550	583	529
559	542	680	546	579	536
521	506	723	516	548	562
486	481	547	484	517	558
453	439	495	448	485	540
568	552	572	571	598	546
541	527	567	535	570	600
511	490	603	508	540	563
543	527	843	537	574	569
531	518	601	531	565	527
491	476	475	479	517	547
484	474	482	475	512	521
503	500	498	504	529	516
496	482	492	496	521	503
521	512	493	519	560	516
516	507	543	515	542	506
511	494	507	512	546	552
550	534	539	543	581	555
508	488	474	504	533	578
550	541	571	547	585	554
533	524	617	523	544	548
499	494	564	496	522	560
484	470	508	473	511	513
554	542	582	555	594	549
483	464	470	475	508	551
500	487	491	500	526	546
508	495	499	506	543	540
531	520	496	528	561	559
537	524	504	541	576	566
504	490	495	506	543	567
523	514	556	525	563	515
551	540	583	554	598	566
523	508	894	516	546	525
537	528	611	534	561	588
533	524	545	528	565	545
543	535	621	549	576	565
526	515	536	522	549	531
520	515	566	515	547	535
484	479	508	481	512	596
497	490	509	498	529	527
500	489	517	493	539	562
524	505	516	521	551	569
518	515	506	514	560	522
517	507	556	516	549	587
516	512	532	525	554	556
522	520	570	523	563	576
524	508	546	526	556	578
519	508	564	519	551	543
514	509	527	512	549	507
486	472	497	489	522	535
554	530	567	552	583	540
472	459	503	469	507	552
510	502	515	513	540	548
546	534	541	557	582	583
500	491	547	503	528	548
541	528	531	552	578	546
508	497	560	516	548	583
520	518	540	523	559	558
519	503	551	523	556	530
466	459	469	470	495	596
444	428	430	449	484	539
496	486	548	505	534	531
513	494	498	525	557	548
548	542	545	554	590	553
471	456	490	479	503	526
486	480	530	494	530	550
581	562	609	589	613	542
505	497	524	518	536	513
497	488	522	510	551	582
498	487	632	508	541	508
511	500	585	514	543	533
519	511	545	534	560	545
517	503	639	521	551	537
483	471	832	483	517	567
543	528	582	547	572	527
514	503	530	519	557	534
470	460	487	470	501	540
486	471	478	491	518	523
488	483	623	490	519	547
