#1.N 2.ctlg 3.ctlg_eps 4.ctlg_perm 5.K 6.alpha0 7.alpha_eps 8.req_eps 9.R_perm 10.hit_opt% 11.hit_unif% 12.improvement%
2 100000 0.2 1 1e+03 0.7 0.4 0 2 32.2788 31.7942 0.484589
2 100000 0.2 1 1e+04 0.7 0.4 0 2 54.0847 53.193 0.891764
2 100000 0.2 1 1e+01 0.7 0 0.2 1 3.37161 3.34406 0.0275534
2 100000 0.2 1 1e+02 0.7 0 0.2 1 9.70899 9.6552 0.0537973
2 100000 0.2 1 1e+03 0.7 0 0.2 1 22.6259 22.5188 0.107049
2 100000 0.2 1 1e+04 0.7 0 0.2 1 48.4543 48.2408 0.213535
2 100000 0.2 1 1e+01 0.7 0 0.2 2 3.52854 3.42912 0.0994224
2 100000 0.2 1 1e+02 0.7 0 0.2 2 10.0935 9.90078 0.192678
2 100000 0.2 1 1e+03 0.7 0 0.2 2 23.4751 23.0916 0.383506
2 100000 0.2 1 1e+04 0.7 0 0.2 2 50.2328 49.4678 0.76499
2 100000 0.2 1 1e+01 0.7 0 0.4 1 3.46743 3.30153 0.165898
2 100000 0.2 1 1e+02 0.7 0 0.4 1 9.86259 9.5324 0.330184
2 100000 0.2 1 1e+03 0.7 0 0.4 1 22.8894 22.2324 0.657011
2 100000 0.2 1 1e+04 0.7 0 0.4 1 48.9378 47.6273 1.31056
2 100000 0.2 1 1e+01 0.7 0 0.4 2 3.77394 3.47165 0.30229
2 100000 0.2 1 1e+02 0.7 0 0.4 2 10.6167 10.0236 0.593148
2 100000 0.2 1 1e+03 0.7 0 0.4 2 24.5585 23.378 1.18049
2 100000 0.2 1 1e+04 0.7 0 0.4 2 52.4361 50.0813 2.35475
2 100000 0.2 1 1e+01 0.7 0 0 1 3.38659 3.38659 0
2 100000 0.2 1 1e+02 0.7 0 0 1 9.78898 9.77799 0.010996
2 100000 0.2 1 1e+03 0.7 0 0 1 22.8273 22.8052 0.0221267
2 100000 0.2 1 1e+04 0.7 0 0 1 48.8985 48.8543 0.0441372
2 100000 0.2 1 1e+01 0.7 0 0 2 3.38659 3.38659 0
2 100000 0.2 1 1e+02 0.7 0 0 2 9.78898 9.77799 0.010996
2 100000 0.2 1 1e+03 0.7 0 0 2 22.8273 22.8052 0.0221267
2 100000 0.2 1 1e+04 0.7 0 0 2 48.8985 48.8543 0.0441372
2 100000 0.2 1 1e+01 1 0.2 0.2 1 29.7145 27.0554 2.65907
2 100000 0.2 1 1e+02 1 0.2 0.2 1 47.0524 46.4277 0.624726
2 100000 0.2 1 1e+03 1 0.2 0.2 1 63.2912 63.2852 0.00597097
2 100000 0.2 1 1e+04 1 0.2 0.2 1 81.423 80.5211 0.901976
2 100000 0.2 1 1e+01 1 0.2 0.2 2 21.0792 20.3632 0.715989
2 100000 0.2 1 1e+02 1 0.2 0.2 2 36.7941 36.7937 0.00035644
2 100000 0.2 1 1e+03 1 0.2 0.2 2 54.4621 53.7474 0.714632
2 100000 0.2 1 1e+04 1 0.2 0.2 2 77.315 74.3197 2.99529
2 100000 0.2 1 1e+01 1 0.2 0.4 1 34.2888 30.4015 3.88728
2 100000 0.2 1 1e+02 1 0.2 0.4 1 52.6099 51.2446 1.36525
2 100000 0.2 1 1e+03 1 0.2 0.4 1 68.1627 68.0541 0.108554
2 100000 0.2 1 1e+04 1 0.2 0.4 1 83.8849 83.6218 0.26316
2 100000 0.2 1 1e+01 1 0.2 0.4 2 17.1913 17.0171 0.174194
2 100000 0.2 1 1e+02 1 0.2 0.4 2 32.1223 31.9767 0.145564
2 100000 0.2 1 1e+03 1 0.2 0.4 2 50.4801 48.9785 1.50157
2 100000 0.2 1 1e+04 1 0.2 0.4 2 75.621 71.219 4.40202
2 100000 0.2 1 1e+01 1 0.2 0 1 25.2717 23.7093 1.56247
2 100000 0.2 1 1e+02 1 0.2 0 1 41.7798 41.6107 0.169066
2 100000 0.2 1 1e+03 1 0.2 0 1 58.7332 58.5163 0.216835
2 100000 0.2 1 1e+04 1 0.2 0 1 79.2461 77.4204 1.82572
2 100000 0.2 1 1e+01 1 0.2 0 2 25.2717 23.7093 1.56247
2 100000 0.2 1 1e+02 1 0.2 0 2 41.7798 41.6107 0.169066
2 100000 0.2 1 1e+03 1 0.2 0 2 58.7332 58.5163 0.216835
2 100000 0.2 1 1e+04 1 0.2 0 2 79.2461 77.4204 1.82572
