#1e3_noboost	1e6_noboost	1e3_boost	1e6_boost
0.56538	0.61056	0.80000	0.70000
0.56683	0.61079	0.70000	0.60000
0.56695	0.61101	0.60000	0.50000
0.56774	0.61124	0.70000	0.60000
0.56794	0.61149	0.80000	0.70000
0.56897	0.61168	0.90000	0.80000
0.56964	0.61190	0.80000	0.70000
0.56993	0.61211	0.70000	0.60000
0.56961	0.61234	0.60000	0.70000
0.56965	0.61258	0.50000	0.60000
0.57038	0.61281	0.60000	0.70000
0.57106	0.61301	0.70000	0.80000
0.57099	0.61327	0.60000	0.70000
0.57171	0.61347	0.50000	0.60000
0.57294	0.61370	0.60000	0.70000
0.57327	0.61392	0.70000	0.80000
0.57335	0.61416	0.60000	0.70000
0.57323	0.61437	0.50000	0.60000
0.57355	0.61461	0.60000	0.50000
0.57379	0.61484	0.70000	0.60000
0.57418	0.61505	0.60000	0.70000
0.57426	0.61528	0.70000	0.80000
0.57511	0.61553	0.60000	0.70000
0.57502	0.61577	0.70000	0.60000
0.57575	0.61599	0.80000	0.70000
0.57590	0.61623	0.70000	0.80000
0.57662	0.61644	0.60000	0.70000
0.57675	0.61667	0.50000	0.60000
0.57767	0.61687	0.60000	0.70000
0.57804	0.61711	0.70000	0.80000
0.57868	0.61735	0.80000	0.70000
0.57832	0.61760	0.70000	0.60000
0.57919	0.61782	0.60000	0.70000
0.57875	0.61804	0.50000	0.80000
0.57960	0.61824	0.60000	0.70000
0.57959	0.61846	0.70000	0.60000
0.58044	0.61871	0.60000	0.70000
0.58049	0.61892	0.70000	0.80000
0.57966	0.61913	0.80000	0.70000
0.58021	0.61936	0.70000	0.60000
0.58016	0.61958	0.80000	0.70000
0.58043	0.61980	0.90000	0.80000
0.58029	0.62002	0.90000	0.70000
0.58057	0.62023	0.90000	0.60000
0.58073	0.62044	0.80000	0.70000
0.58107	0.62067	0.70000	0.80000
0.58138	0.62091	0.60000	0.70000
0.58180	0.62112	0.70000	0.60000
0.58181	0.62135	0.80000	0.70000
0.58292	0.62156	0.70000	0.80000
0.58309	0.62180	0.80000	0.70000
0.58298	0.62203	0.90000	0.60000
0.58308	0.62229	0.80000	0.70000
0.58279	0.62252	0.70000	0.60000
0.58298	0.62277	0.80000	0.50000
0.58383	0.62298	0.70000	0.60000
0.58455	0.62319	0.60000	0.70000
0.58521	0.62341	0.70000	0.80000
0.58558	0.62367	0.80000	0.70000
0.58568	0.62393	0.70000	0.60000
0.58558	0.62415	0.60000	0.70000
0.58617	0.62440	0.70000	0.80000
0.58552	0.62462	0.80000	0.70000
0.58555	0.62483	0.70000	0.60000
0.58594	0.62506	0.60000	0.70000
