#rank requests AS=1 AS=2 AS=3 AS=4 AS=5 AS=6 AS=7 AS=8 AS=9 AS=10 AS=11
224 7 0 0 0 0 0 0 0 0 0 0 0
225 9 0 0 0 0 0 0 0 0 0 0 0
226 12 0 0 0 0 0 0 0 0 0 0 0
227 13 0 0 0 0 0 0 0 0 0 0 0
228 12 0 0 0 0 0 0 0 0 0 0 0
229 17 0 0 0 0 0 0 0 0 0 0 0
230 11 0 0 0 0 0 0 0 0 0 0 0
231 8 0 0 0 0 0 0 0 0 0 0 0
232 14 0 0 0 0 0 0 0 0 0 0 0
233 13 0 0 0 0 0 0 0 0 0 0 0
234 7 0 0 0 0 0 0 0 0 0 0 0
235 11 0 0 0 0 0 0 0 0 0 0 0
236 8 0 0 0 0 0 0 0 0 0 0 0
237 7 0 0 0 0 0 0 0 0 0 0 0
238 6 0 0 0 0 0 0 0 0 0 0 0
239 11 0 0 0 0 0 0 0 0 0 0 0
240 6 0 0 0 0 0 0 0 0 0 0 0
241 9 0 0 0 0 0 0 0 0 0 0 0
242 7 0 0 0 0 0 0 0 0 0 0 0
243 9 0 0 0 0 0 0 0 0 0 0 0
244 9 0 0 0 0 0 0 0 0 0 0 0
245 5 0 0 0 0 0 0 0 0 0 0 0
246 13 0 0 0 0 0 0 0 0 0 0 0
247 15 0 0 0 0 0 0 0 0 0 0 0
248 11 0 0 0 0 0 0 0 0 0 0 0
249 6 0 0 0 0 0 0 0 0 0 0 0
250 13 0 0 0 0 0 0 0 0 0 0 0
251 9 0 0 0 0 0 0 0 0 0 0 0
252 7 0 0 0 0 0 0 0 0 0 0 0
253 11 0 0 0 0 0 0 0 0 0 0 0
254 5 0 0 0 0 0 0 0 0 0 0 0
255 4 0 0 0 0 0 0 0 0 0 0 0
256 10 0 0 0 0 0 0 0 0 0 0 0
257 9 0 0 0 0 0 0 0 0 0 0 0
258 12 0 0 0 0 0 0 0 0 0 0 0
259 4 0 0 0 0 0 0 0 0 0 0 0
260 13 0 0 0 0 0 0 0 0 0 0 0
261 4 0 0 0 0 0 0 0 0 0 0 0
262 3 0 0 0 0 0 0 0 0 0 0 0
263 8 0 0 0 0 0 0 0 0 0 0 0
264 4 0 0 0 0 0 0 0 0 0 0 0
265 8 0 0 0 0 0 0 0 0 0 0 0
266 7 0 0 0 0 0 0 0 0 0 0 0
267 8 0 0 0 0 0 0 0 0 0 0 0
268 12 0 0 0 0 0 0 0 0 0 0 0
269 15 0 0 0 0 0 0 0 0 0 0 0
270 7 0 0 0 0 0 0 0 0 0 0 0
271 5 0 0 0 0 0 0 0 0 0 0 0
272 7 0 0 0 0 0 0 0 0 0 0 0
273 6 0 0 0 0 0 0 0 0 0 0 0
274 9 0 0 0 0 0 0 0 0 0 0 0
275 7 0 0 0 0 0 0 0 0 0 0 0
276 7 0 0 0 0 0 0 0 0 0 0 0
277 8 0 0 0 0 0 0 0 0 0 0 0
278 6 0 0 0 0 0 0 0 0 0 0 0
279 11 0 0 0 0 0 0 0 0 0 0 0
280 10 0 0 0 0 0 0 0 0 0 0 0
281 11 0 0 0 0 0 0 0 0 0 0 0
282 4 0 0 0 0 0 0 0 0 0 0 0
283 7 0 0 0 0 0 0 0 0 0 0 0
284 7 0 0 0 0 0 0 0 0 0 0 0
285 6 0 0 0 0 0 0 0 0 0 0 0
286 6 0 0 0 0 0 0 0 0 0 0 0
287 4 0 0 0 0 0 0 0 0 0 0 0
288 12 0 0 0 0 0 0 0 0 0 0 0
289 12 0 0 0 0 0 0 0 0 0 0 0
290 11 0 0 0 0 0 0 0 0 0 0 0
