#rank requests AS=1 AS=2 AS=3 AS=4 AS=5 AS=6 AS=7
110 9 0 0 0 0 0 0 0
111 12 0 0 0 0 0 0 0
112 9 0 0 0 0 0 0 0
113 5 0 0 0 0 0 0 0
114 8 0 0 0 0 0 0 0
115 7 0 0 0 0 0 0 0
116 3 0 0 0 0 0 0 0
117 5 0 0 0 0 0 0 0
118 12 0 0 0 0 0 0 0
119 4 0 0 0 0 0 0 0
120 11 0 0 0 0 0 0 0
121 6 0 0 0 0 0 0 0
122 7 0 0 0 0 0 0 0
123 3 0 0 0 0 0 0 0
124 3 0 0 0 0 0 0 0
125 6 0 0 0 0 0 0 0
126 10 0 0 0 0 0 0 0
127 2 0 0 0 0 0 0 0
128 12 0 0 0 0 0 0 0
129 4 0 0 0 0 0 0 0
130 1 0 0 0 0 0 0 0
131 8 0 0 0 0 0 0 0
132 6 0 0 0 0 0 0 0
133 2 0 0 0 0 0 0 0
134 6 0 0 0 0 0 0 0
135 8 0 0 0 0 0 0 0
136 4 0 0 0 0 0 0 0
137 4 0 0 0 0 0 0 0
138 1 0 0 0 0 0 0 0
139 4 0 0 0 0 0 0 0
140 4 0 0 0 0 0 0 0
141 1 0 0 0 0 0 0 0
142 5 0 0 0 0 0 0 0
143 6 0 0 0 0 0 0 0
144 9 0 0 0 0 0 0 0
145 6 0 0 0 0 0 0 0
146 4 0 0 0 0 0 0 0
147 8 0 0 0 0 0 0 0
148 5 0 0 0 0 0 0 0
149 5 0 0 0 0 0 0 0
150 10 0 0 0 0 0 0 0
151 4 0 0 0 0 0 0 0
152 4 0 0 0 0 0 0 0
153 4 0 0 0 0 0 0 0
154 6 0 0 0 0 0 0 0
155 4 0 0 0 0 0 0 0
156 6 0 0 0 0 0 0 0
157 7 0 0 0 0 0 0 0
158 4 0 0 0 0 0 0 0
159 6 0 0 0 0 0 0 0
160 4 0 0 0 0 0 0 0
161 3 0 0 0 0 0 0 0
162 2 0 0 0 0 0 0 0
163 4 0 0 0 0 0 0 0
164 3 0 0 0 0 0 0 0
165 5 0 0 0 0 0 0 0
166 5 0 0 0 0 0 0 0
167 4 0 0 0 0 0 0 0
168 4 0 0 0 0 0 0 0
169 7 0 0 0 0 0 0 0
170 4 0 0 0 0 0 0 0
171 6 0 0 0 0 0 0 0
172 5 0 0 0 0 0 0 0
173 1 0 0 0 0 0 0 0
174 8 0 0 0 0 0 0 0
175 2 0 0 0 0 0 0 0
176 10 0 0 0 0 0 0 0
177 3 0 0 0 0 0 0 0
178 7 0 0 0 0 0 0 0
179 4 0 0 0 0 0 0 0
180 5 0 0 0 0 0 0 0
181 5 0 0 0 0 0 0 0
182 3 0 0 0 0 0 0 0
183 3 0 0 0 0 0 0 0
184 4 0 0 0 0 0 0 0
185 2 0 0 0 0 0 0 0
186 4 0 0 0 0 0 0 0
187 6 0 0 0 0 0 0 0
188 7 0 0 0 0 0 0 0
189 2 0 0 0 0 0 0 0
190 3 0 0 0 0 0 0 0
191 4 0 0 0 0 0 0 0
192 2 0 0 0 0 0 0 0
193 5 0 0 0 0 0 0 0
194 5 0 0 0 0 0 0 0
195 4 0 0 0 0 0 0 0
196 4 0 0 0 0 0 0 0
197 6 0 0 0 0 0 0 0
198 6 0 0 0 0 0 0 0
199 8 0 0 0 0 0 0 0
200 3 0 0 0 0 0 0 0
201 3 0 0 0 0 0 0 0
202 5 0 0 0 0 0 0 0
203 7 0 0 0 0 0 0 0
204 3 0 0 0 0 0 0 0
205 3 0 0 0 0 0 0 0
206 3 0 0 0 0 0 0 0
207 2 0 0 0 0 0 0 0
208 2 0 0 0 0 0 0 0
209 1 0 0 0 0 0 0 0
210 1 0 0 0 0 0 0 0
211 2 0 0 0 0 0 0 0
212 2 0 0 0 0 0 0 0
213 5 0 0 0 0 0 0 0
214 5 0 0 0 0 0 0 0
215 4 0 0 0 0 0 0 0
216 5 0 0 0 0 0 0 0
217 4 0 0 0 0 0 0 0
218 8 0 0 0 0 0 0 0
219 3 0 0 0 0 0 0 0
220 8 0 0 0 0 0 0 0
221 4 0 0 0 0 0 0 0
222 4 0 0 0 0 0 0 0
223 5 0 0 0 0 0 0 0
224 0 0 0 0 0 0 0 0
225 9 0 0 0 0 0 0 0
226 2 0 0 0 0 0 0 0
227 2 0 0 0 0 0 0 0
228 3 0 0 0 0 0 0 0
229 6 0 0 0 0 0 0 0
230 5 0 0 0 0 0 0 0
231 6 0 0 0 0 0 0 0
232 2 0 0 0 0 0 0 0
233 3 0 0 0 0 0 0 0
234 1 0 0 0 0 0 0 0
235 4 0 0 0 0 0 0 0
236 5 0 0 0 0 0 0 0
237 4 0 0 0 0 0 0 0
238 7 0 0 0 0 0 0 0
239 3 0 0 0 0 0 0 0
240 3 0 0 0 0 0 0 0
241 1 0 0 0 0 0 0 0
242 5 0 0 0 0 0 0 0
243 0 0 0 0 0 0 0 0
244 3 0 0 0 0 0 0 0
245 8 0 0 0 0 0 0 0
246 4 0 0 0 0 0 0 0
247 2 0 0 0 0 0 0 0
248 0 0 0 0 0 0 0 0
249 2 0 0 0 0 0 0 0
250 8 0 0 0 0 0 0 0
251 3 0 0 0 0 0 0 0
252 2 0 0 0 0 0 0 0
253 5 0 0 0 0 0 0 0
254 7 0 0 0 0 0 0 0
255 1 0 0 0 0 0 0 0
256 0 0 0 0 0 0 0 0
257 3 0 0 0 0 0 0 0
258 4 0 0 0 0 0 0 0
259 5 0 0 0 0 0 0 0
260 4 0 0 0 0 0 0 0
261 6 0 0 0 0 0 0 0
262 3 0 0 0 0 0 0 0
263 6 0 0 0 0 0 0 0
264 3 0 0 0 0 0 0 0
265 3 0 0 0 0 0 0 0
266 3 0 0 0 0 0 0 0
267 3 0 0 0 0 0 0 0
268 4 0 0 0 0 0 0 0
269 0 0 0 0 0 0 0 0
270 0 0 0 0 0 0 0 0
271 2 0 0 0 0 0 0 0
272 2 0 0 0 0 0 0 0
273 1 0 0 0 0 0 0 0
274 3 0 0 0 0 0 0 0
275 4 0 0 0 0 0 0 0
276 3 0 0 0 0 0 0 0
277 4 0 0 0 0 0 0 0
278 4 0 0 0 0 0 0 0
279 1 0 0 0 0 0 0 0
280 1 0 0 0 0 0 0 0
281 2 0 0 0 0 0 0 0
282 3 0 0 0 0 0 0 0
283 2 0 0 0 0 0 0 0
284 6 0 0 0 0 0 0 0
285 6 0 0 0 0 0 0 0
286 3 0 0 0 0 0 0 0
287 5 0 0 0 0 0 0 0
288 2 0 0 0 0 0 0 0
289 4 0 0 0 0 0 0 0
290 6 0 0 0 0 0 0 0
291 2 0 0 0 0 0 0 0
292 5 0 0 0 0 0 0 0
293 4 0 0 0 0 0 0 0
294 0 0 0 0 0 0 0 0
295 0 0 0 0 0 0 0 0
296 1 0 0 0 0 0 0 0
297 7 0 0 0 0 0 0 0
298 2 0 0 0 0 0 0 0
299 5 0 0 0 0 0 0 0
300 4 0 0 0 0 0 0 0
301 1 0 0 0 0 0 0 0
302 2 0 0 0 0 0 0 0
303 4 0 0 0 0 0 0 0
304 3 0 0 0 0 0 0 0
305 5 0 0 0 0 0 0 0
306 3 0 0 0 0 0 0 0
307 6 0 0 0 0 0 0 0
308 4 0 0 0 0 0 0 0
309 1 0 0 0 0 0 0 0
310 3 0 0 0 0 0 0 0
311 2 0 0 0 0 0 0 0
312 2 0 0 0 0 0 0 0
313 6 0 0 0 0 0 0 0
314 0 0 0 0 0 0 0 0
315 2 0 0 0 0 0 0 0
316 1 0 0 0 0 0 0 0
317 3 0 0 0 0 0 0 0
318 4 0 0 0 0 0 0 0
319 3 0 0 0 0 0 0 0
320 5 0 0 0 0 0 0 0
321 3 0 0 0 0 0 0 0
322 0 0 0 0 0 0 0 0
323 3 0 0 0 0 0 0 0
324 1 0 0 0 0 0 0 0
325 3 0 0 0 0 0 0 0
326 0 0 0 0 0 0 0 0
327 2 0 0 0 0 0 0 0
328 4 0 0 0 0 0 0 0
329 1 0 0 0 0 0 0 0
330 0 0 0 0 0 0 0 0
331 4 0 0 0 0 0 0 0
332 3 0 0 0 0 0 0 0
333 1 0 0 0 0 0 0 0
334 3 0 0 0 0 0 0 0
335 5 0 0 0 0 0 0 0
336 1 0 0 0 0 0 0 0
337 5 0 0 0 0 0 0 0
338 3 0 0 0 0 0 0 0
339 2 0 0 0 0 0 0 0
340 5 0 0 0 0 0 0 0
341 3 0 0 0 0 0 0 0
342 2 0 0 0 0 0 0 0
343 3 0 0 0 0 0 0 0
344 1 0 0 0 0 0 0 0
345 6 0 0 0 0 0 0 0
346 2 0 0 0 0 0 0 0
347 6 0 0 0 0 0 0 0
348 2 0 0 0 0 0 0 0
349 4 0 0 0 0 0 0 0
350 4 0 0 0 0 0 0 0
351 2 0 0 0 0 0 0 0
352 4 0 0 0 0 0 0 0
353 2 0 0 0 0 0 0 0
354 3 0 0 0 0 0 0 0
355 4 0 0 0 0 0 0 0
356 0 0 0 0 0 0 0 0
357 0 0 0 0 0 0 0 0
358 1 0 0 0 0 0 0 0
359 3 0 0 0 0 0 0 0
360 0 0 0 0 0 0 0 0
361 2 0 0 0 0 0 0 0
362 1 0 0 0 0 0 0 0
363 1 0 0 0 0 0 0 0
364 3 0 0 0 0 0 0 0
365 2 0 0 0 0 0 0 0
366 3 0 0 0 0 0 0 0
367 5 0 0 0 0 0 0 0
368 4 0 0 0 0 0 0 0
369 4 0 0 0 0 0 0 0
370 0 0 0 0 0 0 0 0
371 1 0 0 0 0 0 0 0
372 3 0 0 0 0 0 0 0
373 0 0 0 0 0 0 0 0
374 0 0 0 0 0 0 0 0
375 0 0 0 0 0 0 0 0
376 2 0 0 0 0 0 0 0
377 0 0 0 0 0 0 0 0
378 2 0 0 0 0 0 0 0
379 4 0 0 0 0 0 0 0
380 0 0 0 0 0 0 0 0
381 1 0 0 0 0 0 0 0
382 3 0 0 0 0 0 0 0
383 4 0 0 0 0 0 0 0
384 1 0 0 0 0 0 0 0
385 2 0 0 0 0 0 0 0
386 3 0 0 0 0 0 0 0
387 0 0 0 0 0 0 0 0
388 3 0 0 0 0 0 0 0
389 6 0 0 0 0 0 0 0
390 2 0 0 0 0 0 0 0
391 2 0 0 0 0 0 0 0
392 2 0 0 0 0 0 0 0
393 0 0 0 0 0 0 0 0
394 2 0 0 0 0 0 0 0
395 2 0 0 0 0 0 0 0
396 0 0 0 0 0 0 0 0
397 4 0 0 0 0 0 0 0
398 2 0 0 0 0 0 0 0
399 2 0 0 0 0 0 0 0
400 4 0 0 0 0 0 0 0
401 1 0 0 0 0 0 0 0
402 1 0 0 0 0 0 0 0
403 1 0 0 0 0 0 0 0
404 0 0 0 0 0 0 0 0
405 3 0 0 0 0 0 0 0
406 0 0 0 0 0 0 0 0
407 2 0 0 0 0 0 0 0
408 4 0 0 0 0 0 0 0
409 0 0 0 0 0 0 0 0
410 1 0 0 0 0 0 0 0
411 2 0 0 0 0 0 0 0
412 0 0 0 0 0 0 0 0
413 2 0 0 0 0 0 0 0
414 0 0 0 0 0 0 0 0
415 2 0 0 0 0 0 0 0
416 4 0 0 0 0 0 0 0
417 5 0 0 0 0 0 0 0
418 2 0 0 0 0 0 0 0
419 1 0 0 0 0 0 0 0
420 1 0 0 0 0 0 0 0
421 4 0 0 0 0 0 0 0
422 1 0 0 0 0 0 0 0
423 1 0 0 0 0 0 0 0
424 0 0 0 0 0 0 0 0
425 3 0 0 0 0 0 0 0
426 2 0 0 0 0 0 0 0
427 4 0 0 0 0 0 0 0
428 0 0 0 0 0 0 0 0
429 2 0 0 0 0 0 0 0
430 4 0 0 0 0 0 0 0
431 0 0 0 0 0 0 0 0
432 2 0 0 0 0 0 0 0
433 0 0 0 0 0 0 0 0
434 0 0 0 0 0 0 0 0
435 5 0 0 0 0 0 0 0
436 0 0 0 0 0 0 0 0
437 0 0 0 0 0 0 0 0
438 3 0 0 0 0 0 0 0
439 0 0 0 0 0 0 0 0
440 3 0 0 0 0 0 0 0
441 0 0 0 0 0 0 0 0
442 1 0 0 0 0 0 0 0
443 3 0 0 0 0 0 0 0
444 4 0 0 0 0 0 0 0
445 2 0 0 0 0 0 0 0
446 0 0 0 0 0 0 0 0
447 1 0 0 0 0 0 0 0
448 3 0 0 0 0 0 0 0
449 2 0 0 0 0 0 0 0
450 0 0 0 0 0 0 0 0
451 2 0 0 0 0 0 0 0
452 2 0 0 0 0 0 0 0
453 1 0 0 0 0 0 0 0
454 0 0 0 0 0 0 0 0
455 1 0 0 0 0 0 0 0
456 1 0 0 0 0 0 0 0
457 4 0 0 0 0 0 0 0
458 2 0 0 0 0 0 0 0
459 0 0 0 0 0 0 0 0
460 0 0 0 0 0 0 0 0
461 2 0 0 0 0 0 0 0
462 0 0 0 0 0 0 0 0
463 0 0 0 0 0 0 0 0
464 2 0 0 0 0 0 0 0
465 0 0 0 0 0 0 0 0
466 4 0 0 0 0 0 0 0
467 3 0 0 0 0 0 0 0
468 0 0 0 0 0 0 0 0
469 4 0 0 0 0 0 0 0
470 0 0 0 0 0 0 0 0
471 2 0 0 0 0 0 0 0
472 3 0 0 0 0 0 0 0
473 0 0 0 0 0 0 0 0
474 2 0 0 0 0 0 0 0
475 1 0 0 0 0 0 0 0
476 0 0 0 0 0 0 0 0
477 3 0 0 0 0 0 0 0
478 1 0 0 0 0 0 0 0
479 0 0 0 0 0 0 0 0
480 2 0 0 0 0 0 0 0
481 1 0 0 0 0 0 0 0
482 1 0 0 0 0 0 0 0
483 2 0 0 0 0 0 0 0
484 0 0 0 0 0 0 0 0
485 1 0 0 0 0 0 0 0
486 0 0 0 0 0 0 0 0
487 0 0 0 0 0 0 0 0
488 0 0 0 0 0 0 0 0
489 0 0 0 0 0 0 0 0
490 1 0 0 0 0 0 0 0
491 2 0 0 0 0 0 0 0
492 2 0 0 0 0 0 0 0
493 2 0 0 0 0 0 0 0
494 4 0 0 0 0 0 0 0
495 9 0 0 0 0 0 0 0
496 1 0 0 0 0 0 0 0
497 2 0 0 0 0 0 0 0
498 2 0 0 0 0 0 0 0
499 3 0 0 0 0 0 0 0
500 1 0 0 0 0 0 0 0
501 0 0 0 0 0 0 0 0
502 2 0 0 0 0 0 0 0
503 0 0 0 0 0 0 0 0
504 3 0 0 0 0 0 0 0
505 2 0 0 0 0 0 0 0
506 2 0 0 0 0 0 0 0
507 2 0 0 0 0 0 0 0
508 2 0 0 0 0 0 0 0
509 4 0 0 0 0 0 0 0
510 0 0 0 0 0 0 0 0
511 2 0 0 0 0 0 0 0
512 5 0 0 0 0 0 0 0
513 3 0 0 0 0 0 0 0
514 0 0 0 0 0 0 0 0
515 4 0 0 0 0 0 0 0
516 0 0 0 0 0 0 0 0
517 2 0 0 0 0 0 0 0
518 0 0 0 0 0 0 0 0
519 1 0 0 0 0 0 0 0
520 3 0 0 0 0 0 0 0
521 2 0 0 0 0 0 0 0
522 2 0 0 0 0 0 0 0
523 1 0 0 0 0 0 0 0
524 3 0 0 0 0 0 0 0
525 6 0 0 0 0 0 0 0
526 0 0 0 0 0 0 0 0
527 2 0 0 0 0 0 0 0
528 1 0 0 0 0 0 0 0
529 2 0 0 0 0 0 0 0
530 1 0 0 0 0 0 0 0
531 0 0 0 0 0 0 0 0
532 1 0 0 0 0 0 0 0
533 1 0 0 0 0 0 0 0
534 3 0 0 0 0 0 0 0
535 2 0 0 0 0 0 0 0
536 0 0 0 0 0 0 0 0
537 1 0 0 0 0 0 0 0
538 2 0 0 0 0 0 0 0
539 1 0 0 0 0 0 0 0
540 3 0 0 0 0 0 0 0
541 0 0 0 0 0 0 0 0
542 0 0 0 0 0 0 0 0
543 1 0 0 0 0 0 0 0
544 2 0 0 0 0 0 0 0
545 0 0 0 0 0 0 0 0
546 0 0 0 0 0 0 0 0
547 1 0 0 0 0 0 0 0
548 3 0 0 0 0 0 0 0
549 0 0 0 0 0 0 0 0
550 0 0 0 0 0 0 0 0
551 1 0 0 0 0 0 0 0
552 3 0 0 0 0 0 0 0
553 0 0 0 0 0 0 0 0
554 0 0 0 0 0 0 0 0
555 1 0 0 0 0 0 0 0
556 4 0 0 0 0 0 0 0
557 2 0 0 0 0 0 0 0
558 2 0 0 0 0 0 0 0
559 3 0 0 0 0 0 0 0
560 4 0 0 0 0 0 0 0
561 0 0 0 0 0 0 0 0
562 0 0 0 0 0 0 0 0
563 2 0 0 0 0 0 0 0
564 1 0 0 0 0 0 0 0
565 1 0 0 0 0 0 0 0
566 0 0 0 0 0 0 0 0
567 0 0 0 0 0 0 0 0
568 2 0 0 0 0 0 0 0
569 2 0 0 0 0 0 0 0
570 0 0 0 0 0 0 0 0
571 2 0 0 0 0 0 0 0
572 0 0 0 0 0 0 0 0
573 5 0 0 0 0 0 0 0
574 4 0 0 0 0 0 0 0
575 0 0 0 0 0 0 0 0
576 0 0 0 0 0 0 0 0
577 0 0 0 0 0 0 0 0
578 1 0 0 0 0 0 0 0
579 0 0 0 0 0 0 0 0
580 3 0 0 0 0 0 0 0
581 0 0 0 0 0 0 0 0
582 2 0 0 0 0 0 0 0
583 1 0 0 0 0 0 0 0
584 4 0 0 0 0 0 0 0
585 2 0 0 0 0 0 0 0
586 0 0 0 0 0 0 0 0
587 0 0 0 0 0 0 0 0
588 0 0 0 0 0 0 0 0
589 3 0 0 0 0 0 0 0
590 0 0 0 0 0 0 0 0
591 0 0 0 0 0 0 0 0
592 3 0 0 0 0 0 0 0
593 0 0 0 0 0 0 0 0
594 1 0 0 0 0 0 0 0
595 0 0 0 0 0 0 0 0
596 2 0 0 0 0 0 0 0
597 0 0 0 0 0 0 0 0
598 0 0 0 0 0 0 0 0
599 0 0 0 0 0 0 0 0
600 2 0 0 0 0 0 0 0
601 0 0 0 0 0 0 0 0
602 0 0 0 0 0 0 0 0
603 0 0 0 0 0 0 0 0
604 3 0 0 0 0 0 0 0
605 2 0 0 0 0 0 0 0
606 3 0 0 0 0 0 0 0
607 0 0 0 0 0 0 0 0
608 2 0 0 0 0 0 0 0
609 2 0 0 0 0 0 0 0
610 0 0 0 0 0 0 0 0
611 0 0 0 0 0 0 0 0
612 0 0 0 0 0 0 0 0
613 3 0 0 0 0 0 0 0
614 0 0 0 0 0 0 0 0
615 0 0 0 0 0 0 0 0
616 4 0 0 0 0 0 0 0
617 0 0 0 0 0 0 0 0
618 0 0 0 0 0 0 0 0
619 1 0 0 0 0 0 0 0
620 0 0 0 0 0 0 0 0
621 3 0 0 0 0 0 0 0
622 2 0 0 0 0 0 0 0
623 3 0 0 0 0 0 0 0
624 0 0 0 0 0 0 0 0
625 3 0 0 0 0 0 0 0
626 2 0 0 0 0 0 0 0
627 3 0 0 0 0 0 0 0
628 2 0 0 0 0 0 0 0
629 0 0 0 0 0 0 0 0
630 0 0 0 0 0 0 0 0
631 1 0 0 0 0 0 0 0
632 1 0 0 0 0 0 0 0
633 1 0 0 0 0 0 0 0
634 2 0 0 0 0 0 0 0
635 2 0 0 0 0 0 0 0
636 0 0 0 0 0 0 0 0
637 1 0 0 0 0 0 0 0
638 0 0 0 0 0 0 0 0
639 0 0 0 0 0 0 0 0
640 1 0 0 0 0 0 0 0
641 0 0 0 0 0 0 0 0
642 3 0 0 0 0 0 0 0
643 1 0 0 0 0 0 0 0
644 0 0 0 0 0 0 0 0
645 1 0 0 0 0 0 0 0
646 0 0 0 0 0 0 0 0
647 3 0 0 0 0 0 0 0
648 0 0 0 0 0 0 0 0
649 2 0 0 0 0 0 0 0
650 4 0 0 0 0 0 0 0
651 3 0 0 0 0 0 0 0
652 1 0 0 0 0 0 0 0
653 0 0 0 0 0 0 0 0
654 0 0 0 0 0 0 0 0
655 3 0 0 0 0 0 0 0
656 2 0 0 0 0 0 0 0
657 0 0 0 0 0 0 0 0
658 0 0 0 0 0 0 0 0
659 0 0 0 0 0 0 0 0
660 0 0 0 0 0 0 0 0
661 0 0 0 0 0 0 0 0
662 1 0 0 0 0 0 0 0
663 1 0 0 0 0 0 0 0
664 2 0 0 0 0 0 0 0
665 0 0 0 0 0 0 0 0
666 2 0 0 0 0 0 0 0
667 0 0 0 0 0 0 0 0
668 1 0 0 0 0 0 0 0
669 0 0 0 0 0 0 0 0
670 0 0 0 0 0 0 0 0
671 4 0 0 0 0 0 0 0
672 1 0 0 0 0 0 0 0
673 2 0 0 0 0 0 0 0
674 0 0 0 0 0 0 0 0
675 0 0 0 0 0 0 0 0
676 1 0 0 0 0 0 0 0
677 2 0 0 0 0 0 0 0
678 1 0 0 0 0 0 0 0
679 0 0 0 0 0 0 0 0
680 0 0 0 0 0 0 0 0
681 2 0 0 0 0 0 0 0
682 0 0 0 0 0 0 0 0
683 0 0 0 0 0 0 0 0
684 0 0 0 0 0 0 0 0
685 2 0 0 0 0 0 0 0
686 0 0 0 0 0 0 0 0
687 0 0 0 0 0 0 0 0
688 0 0 0 0 0 0 0 0
689 0 0 0 0 0 0 0 0
690 0 0 0 0 0 0 0 0
691 0 0 0 0 0 0 0 0
692 1 0 0 0 0 0 0 0
693 1 0 0 0 0 0 0 0
694 0 0 0 0 0 0 0 0
695 0 0 0 0 0 0 0 0
696 3 0 0 0 0 0 0 0
697 0 0 0 0 0 0 0 0
698 1 0 0 0 0 0 0 0
699 0 0 0 0 0 0 0 0
700 2 0 0 0 0 0 0 0
701 1 0 0 0 0 0 0 0
702 2 0 0 0 0 0 0 0
703 0 0 0 0 0 0 0 0
704 1 0 0 0 0 0 0 0
705 1 0 0 0 0 0 0 0
706 4 0 0 0 0 0 0 0
707 0 0 0 0 0 0 0 0
708 2 0 0 0 0 0 0 0
709 1 0 0 0 0 0 0 0
710 0 0 0 0 0 0 0 0
711 0 0 0 0 0 0 0 0
712 0 0 0 0 0 0 0 0
713 3 0 0 0 0 0 0 0
714 0 0 0 0 0 0 0 0
715 0 0 0 0 0 0 0 0
716 2 0 0 0 0 0 0 0
717 2 0 0 0 0 0 0 0
718 0 0 0 0 0 0 0 0
719 0 0 0 0 0 0 0 0
720 0 0 0 0 0 0 0 0
721 0 0 0 0 0 0 0 0
722 0 0 0 0 0 0 0 0
723 0 0 0 0 0 0 0 0
724 2 0 0 0 0 0 0 0
725 0 0 0 0 0 0 0 0
726 1 0 0 0 0 0 0 0
727 3 0 0 0 0 0 0 0
728 0 0 0 0 0 0 0 0
729 0 0 0 0 0 0 0 0
730 0 0 0 0 0 0 0 0
731 0 0 0 0 0 0 0 0
732 0 0 0 0 0 0 0 0
733 0 0 0 0 0 0 0 0
734 0 0 0 0 0 0 0 0
735 0 0 0 0 0 0 0 0
736 0 0 0 0 0 0 0 0
737 0 0 0 0 0 0 0 0
738 3 0 0 0 0 0 0 0
739 4 0 0 0 0 0 0 0
740 1 0 0 0 0 0 0 0
741 1 0 0 0 0 0 0 0
742 3 0 0 0 0 0 0 0
743 0 0 0 0 0 0 0 0
744 4 0 0 0 0 0 0 0
745 0 0 0 0 0 0 0 0
746 3 0 0 0 0 0 0 0
747 0 0 0 0 0 0 0 0
748 0 0 0 0 0 0 0 0
749 0 0 0 0 0 0 0 0
750 0 0 0 0 0 0 0 0
751 2 0 0 0 0 0 0 0
752 0 0 0 0 0 0 0 0
753 0 0 0 0 0 0 0 0
754 2 0 0 0 0 0 0 0
755 3 0 0 0 0 0 0 0
756 1 0 0 0 0 0 0 0
757 3 0 0 0 0 0 0 0
758 0 0 0 0 0 0 0 0
759 0 0 0 0 0 0 0 0
760 0 0 0 0 0 0 0 0
761 1 0 0 0 0 0 0 0
762 1 0 0 0 0 0 0 0
763 1 0 0 0 0 0 0 0
764 2 0 0 0 0 0 0 0
765 2 0 0 0 0 0 0 0
766 0 0 0 0 0 0 0 0
767 0 0 0 0 0 0 0 0
768 0 0 0 0 0 0 0 0
769 0 0 0 0 0 0 0 0
770 3 0 0 0 0 0 0 0
771 0 0 0 0 0 0 0 0
772 0 0 0 0 0 0 0 0
773 2 0 0 0 0 0 0 0
